No,Perguruan Tinggi,Peringkat,No. SK,Tahun SK,Wilayah,Tanggal Kadaluarsa,Status Kadaluarsa
2463,AKPER Mappa Oudang Makassar,Baik,1944/SK/BAN-PT/Ak.Ppj/PT/XI/2022,2022,09,2027-11-23,Masih berlaku
1450,AKPER Putra Pertiwi Watansoppeng,Baik,355/SK/BAN-PT/Ak/PT/IV/2024,2024,09,2029-04-02,Masih berlaku
3794,AKTEK Radiodiagnostik &amp; Terapi Citra Intan Persada,Tidak Terakreditasi,978/SK/BAN-PT/Ak-TMSP/PT/XI/2020,2020,11,,Masih berlaku
1648,AKTEK Radiodiagnostik Dan Radioterapi Bali,Baik,14/SK/BAN-PT/PEPA-Ppj/PT/I/2024,2024,08,2028-10-31,Masih berlaku
2420,AMIK Bukittinggi,Baik,2007/SK/BAN-PT/Ak.Ppj/PT/XII/2022,2022,10,2027-12-28,Masih berlaku
701,AMIK Bumi Nusantara,Baik,1804/SK/BAN-PT/Ak.P/PT/IX/2024,2024,04,2026-09-24,Masih berlaku
2206,AMIK Citra Buana Indonesia,Baik,362/SK/BAN-PT/Ak/PT/V/2023,2023,04,2028-05-23,Masih berlaku
1018,AMIK Depati Parbo Kerinci,Baik,1543/SK/BAN-PT/Ak.B/PT/VIII/2024,2024,10,2026-08-13,Masih berlaku
3934,AMIK Indonesia,Baik,1005/SK/BAN-PT/Akred/PT/XII/2020,2020,13,2025-12-01,Masih berlaku
1146,AMIK Jabal Ghafur,Baik,1337/SK/BAN-PT/Ak.P/PT/VII/2024,2024,13,2026-07-09,Masih berlaku
2143,AMIK Laksi-31,Tidak Terakreditasi,448/SK/BAN-PT/Ak-TMSP/PT/VII/2023,2023,03,,Masih berlaku
1990,AMIK Mahaputra Riau,Baik,742/SK/BAN-PT/Ak.Ppj/PT/X/2023,2023,17,2028-10-24,Masih berlaku
1556,AMIK Mapan Tangerang,Baik,224/SK/BAN-PT/Ak.Ppj/PT/III/2024,2024,04,2029-02-27,Masih berlaku
650,AMIK Master Lampung,Baik,1870/SK/BAN-PT/Ak.P/PT/X/2024,2024,02,2026-10-08,Masih berlaku
3596,AMIK Medan Business Polytechnic,Baik,410/SK/BAN-PT/Akred/PT/V/2021,2021,01,2026-05-05,Masih berlaku
2050,AMIK Mitra Gama,Baik,623/SK/BAN-PT/Ak.Ppj/PT/IX/2023,2023,10,2028-09-26,Masih berlaku
3471,AMIK PGRI Kebumen,Baik,630/SK/BAN-PT/Akred/PT/VII/2021,2021,06,2026-07-13,Masih berlaku
1340,AMIK Panca Bhakti,Baik,1012/SK/BAN-PT/Ak.P/PT/V/2024,2024,11,2026-05-15,Masih berlaku
2688,AMIK Parbina Nusantara,Baik,1516/SK/BAN-PT/Ak/PT/IX/2022,2022,01,2027-09-26,Masih berlaku
894,AMIK Polibisnis Medan,Baik,1620/SK/BAN-PT/Ak.P/PT/VIII/2024,2024,01,2026-08-18,Masih berlaku
1397,AMIK Purnama Niaga,Baik,455/SK/BAN-PT/Ak.Ppj/PT/IV/2024,2024,04,2029-04-24,Masih berlaku
2115,AMIK Selat Panjang,Baik,503/SK/BAN-PT/Ak.Ppj/PT/VII/2023,2023,17,2028-08-08,Masih berlaku
589,AMIK Tomakaka,Baik,1942/SK/BAN-PT/Ak/PT/X/2024,2024,09,2029-10-19,Masih berlaku
748,AMIK Tri Dharma Palu,Baik,1764/SK/BAN-PT/Ak.P/PT/IX/2024,2024,16,2026-09-10,Masih berlaku
1474,AMIK Wahana Mandiri Tangerang,Baik,339/SK/BAN-PT/Ak.P/PT/III/2024,2024,04,2026-03-26,Masih berlaku
240,AMIK Widya Loka Medan,Baik,21/SK/BAN-PT/Ak.P/PT/I/2025,2025,01,2027-01-21,Masih berlaku
882,AMIK Wira Nusantara,Baik,1664/SK/BAN-PT/Ak.P/PT/VIII/2024,2024,04,2026-08-18,Masih berlaku
3766,ASM Marsudirini Santa Maria,Baik,98/SK/BAN-PT/Akred/PT/II/2021,2021,05,2026-02-17,Masih berlaku
826,ATRO Yayasan Amal Bhakti Medan,Baik,1683/SK/BAN-PT/Ak/PT/VIII/2024,2024,01,2029-08-19,Masih berlaku
1850,Akademi Administrasi Rumah Sakit Mataram,Baik,954/SK/BAN-PT/Ak/PT/XI/2023,2023,08,2028-11-21,Masih berlaku
1807,Akademi Akuntansi (AKTAN) Boekittinggi,Baik,1009/SK/BAN-PT/Ak/PT/XI/2023,2023,10,2028-11-28,Masih berlaku
712,Akademi Akuntansi Bandung,Baik,1795/SK/BAN-PT/Ak/PT/IX/2024,2024,04,2029-09-17,Masih berlaku
1088,Akademi Akuntansi Bima Sakapenta,Baik,1399/SK/BAN-PT/Ak.P/PT/VII/2024,2024,06,2026-07-23,Masih berlaku
916,Akademi Akuntansi Borobudur,Baik,1546/SK/BAN-PT/Ak.P/PT/VIII/2024,2024,03,2026-08-14,Masih berlaku
3632,Akademi Akuntansi Effendi Harahap,Baik,348/SK/BAN-PT/Akred/PT/IV/2021,2021,06,2026-04-20,Masih berlaku
1467,Akademi Akuntansi Indonesia Padang,Baik,394/SK/BAN-PT/Ak.Ppj/PT/IV/2024,2024,10,2029-04-10,Masih berlaku
3791,Akademi Akuntansi Lampung,B,44/SK/BAN-PT/Ak-PPJ/PT/II/2021,2021,02,2026-01-30,Masih berlaku
1631,Akademi Akuntansi Riau,Tidak Terakreditasi,69/SK/BAN-PT/PEPA-Ppj/PT/I/2024,2024,17,,Masih berlaku
2497,Akademi Akuntansi YPK Medan,Baik,1896/SK/BAN-PT/Ak/PT/XI/2022,2022,01,2027-11-15,Masih berlaku
15,Akademi Akuntansi dan Manajemen Pembangunan,Baik,2125/SK/BAN-PT/Ak/PT/IV/2025,2025,02,2030-04-22,Masih berlaku
991,Akademi Akupunktur Aceh,Baik,1504/SK/BAN-PT/Ak.P/PT/VIII/2024,2024,13,2026-08-13,Masih berlaku
2340,Akademi Analis Farmasi Dan Makanan Banda Aceh,Baik,146/SK/BAN-PT/Ak/PT/II/2023,2023,13,2028-02-28,Masih berlaku
3047,Akademi Analis Farmasi Dan Makanan Sunan Giri,Baik,460/SK/BAN-PT/Ak/PT/VIII/2022,2022,07,2027-08-23,Masih berlaku
3521,Akademi Analis Farmasi dan Makanan Putra Indonesia Malang,Baik,542/SK/BAN-PT/Akred/PT/VI/2021,2021,07,2026-06-15,Masih berlaku
1272,Akademi Analis Kesehatan 17 Agustus 1945 Semarang,Baik,1157/SK/BAN-PT/Ak.Ppj/PT/VI/2024,2024,06,2029-05-22,Masih berlaku
2948,Akademi Analis Kesehatan An-Nasher,Baik,911/SK/BAN-PT/Ak.KP/PT/IX/2022,2022,04,2025-05-10,17 hari lagi kedaluwarsa
2153,Akademi Analis Kesehatan Delima Husada Gresik,Baik,442/SK/BAN-PT/Ak.Ppj/PT/VI/2023,2023,07,2028-06-07,Masih berlaku
2749,Akademi Analis Kesehatan Harapan Bangsa,Baik,1130/SK/BAN-PT/Ak.KP/PT/IX/2022,2022,02,2026-08-15,Masih berlaku
816,Akademi Analis Kesehatan Malang,Baik,1682/SK/BAN-PT/Ak/PT/VIII/2024,2024,07,2029-08-19,Masih berlaku
1264,Akademi Analis Kesehatan Manggala Yogyakarta,Baik,1158/SK/BAN-PT/Ak.Ppj/PT/VI/2024,2024,05,2029-05-22,Masih berlaku
1466,Akademi Analis Kesehatan Pekalongan,Baik,399/SK/BAN-PT/Ak.Ppj/PT/IV/2024,2024,06,2029-04-10,Masih berlaku
951,Akademi Analis Kesehatan Putra Jaya Batam,Baik,1547/SK/BAN-PT/Ak.P/PT/VIII/2024,2024,17,2026-08-14,Masih berlaku
3882,Akademi Angkatan Udara (AAU),Unggul,1032/SK/BAN-PT/Akred/PT/XII/2020,2020,PTKL,2025-12-08,Masih berlaku
480,Akademi Audiologi Indonesia Jakarta,Baik,2078/SK/BAN-PT/Ak.P/PT/XI/2024,2024,03,2026-11-12,Masih berlaku
3292,Akademi Bahasa Asing Balikpapan,Baik,1004/SK/BAN-PT/Akred/PT/XI/2021,2021,11,2026-06-30,Masih berlaku
3779,Akademi Bahasa Asing Harapan Bangsa,Baik,65/SK/BAN-PT/Ak-PKP/PT/II/2021,2021,06,2026-02-09,Masih berlaku
2971,Akademi Bahasa Asing Persada Bunda,Baik,1007/SK/BAN-PT/Ak.KP/PT/IX/2022,2022,17,2025-08-30,129 hari lagi kedaluwarsa
835,Akademi Bahasa Asing UMI Makassar,Baik,1639/SK/BAN-PT/Ak.P/PT/VIII/2024,2024,09,2026-08-18,Masih berlaku
128,Akademi Bakti Kemanusiaan Palang Merah Indonesia,Baik,2047/SK/BAN-PT/Ak.P/PT/III/2025,2025,03,2027-03-04,Masih berlaku
89,Akademi Bisnis Lombok,Baik,2086/SK/BAN-PT/Ak/PT/III/2025,2025,08,2030-03-19,Masih berlaku
2347,Akademi Enterpreneurship Terang Bangsa,Baik,137/SK/BAN-PT/Ak/PT/II/2023,2023,06,2028-02-27,Masih berlaku
1470,Akademi Farmasi 17 Agustus 1945 Semarang,Baik,389/SK/BAN-PT/Ak.Ppj/PT/IV/2024,2024,06,2029-04-10,Masih berlaku
2931,Akademi Farmasi Bhumi Husada,Baik,920/SK/BAN-PT/Ak.KP/PT/IX/2022,2022,03,2027-09-13,Masih berlaku
1458,Akademi Farmasi Bina Farmasi,Baik,372/SK/BAN-PT/Ak.B/PT/IV/2024,2024,16,2026-04-02,Masih berlaku
2069,Akademi Farmasi Bumi Siliwangi,Baik,590/SK/BAN-PT/Ak.Ppj/PT/IX/2023,2023,04,2028-09-19,Masih berlaku
1321,Akademi Farmasi Cendikia Farma Husada,Baik,1090/SK/BAN-PT/Ak/PT/V/2024,2024,02,2029-05-21,Masih berlaku
3597,Akademi Farmasi Dwi Farma,Baik,398/SK/BAN-PT/Akred/PT/V/2021,2021,10,2026-05-04,Masih berlaku
1989,Akademi Farmasi Imam Bonjol,Baik,741/SK/BAN-PT/Ak.Ppj/PT/X/2023,2023,10,2028-10-24,Masih berlaku
2701,Akademi Farmasi Indonesia Yogyakarta,Baik,1093/SK/BAN-PT/Ak.KP/PT/IX/2022,2022,05,2025-09-04,134 hari lagi kedaluwarsa
1682,Akademi Farmasi Jember,Baik,1208/SK/BAN-PT/PEPA-Ppj/PT/XII/2023,2023,07,2028-09-07,Masih berlaku
2274,Akademi Farmasi Kusuma Husada Purwokerto,Baik,255/SK/BAN-PT/Ak/PT/IV/2023,2023,06,2028-04-11,Masih berlaku
1468,Akademi Farmasi Mitra Sehat Mandiri Sidoarjo,Baik,397/SK/BAN-PT/Ak.Ppj/PT/IV/2024,2024,07,2029-04-10,Masih berlaku
1060,Akademi Farmasi Persada Sukabumi,Baik,1416/SK/BAN-PT/Ak.P/PT/VII/2024,2024,04,2026-07-30,Masih berlaku
1824,Akademi Farmasi Prayoga Padang,Baik,1038/SK/BAN-PT/Ak.Ppj/PT/XI/2023,2023,10,2028-12-13,Masih berlaku
3994,Akademi Farmasi Putera Indonesia Malang,Baik,886/SK/BAN-PT/Akred/PT/X/2020,2020,07,2025-10-27,Masih berlaku
343,Akademi Farmasi Santo Fransiskus Xaverius,Baik,2163/SK/BAN-PT/Ak/PT/XII/2024,2024,15,2029-12-02,Masih berlaku
1852,Akademi Farmasi Surabaya,Baik Sekali,952/SK/BAN-PT/Ak/PT/XI/2023,2023,07,2028-11-21,Masih berlaku
1097,Akademi Farmasi Tadulako Farma,Baik,1364/SK/BAN-PT/Ak.P/PT/VII/2024,2024,16,2026-07-15,Masih berlaku
739,Akademi Farmasi Toraja,Baik,1759/SK/BAN-PT/Ak/PT/IX/2024,2024,09,2029-09-10,Masih berlaku
1037,Akademi Farmasi YPF,Baik,1455/SK/BAN-PT/Ak.S/PT/VIII/2024,2024,04,9999-01-01,Masih berlaku
266,Akademi Farmasi YPPM Mandiri,Baik,2262/SK/BAN-PT/Ak/PT/XII/2024,2024,13,2029-12-15,Masih berlaku
2263,Akademi Farmasi Yamasi Makassar,Baik,286/SK/BAN-PT/Ak.Ppj/PT/IV/2023,2023,09,2028-05-03,Masih berlaku
1401,Akademi Farmasi Yarsi Pontianak,B,458/SK/BAN-PT/Ak.Ppj/PT/IV/2024,2024,11,2029-04-24,Masih berlaku
2585,Akademi Film Yogyakarta,Baik,1733/SK/BAN-PT/Ak/PT/X/2022,2022,05,2027-10-19,Masih berlaku
334,Akademi Fisioterapi Harapan Bangsa Banda Aceh,Baik,2166/SK/BAN-PT/Ak/PT/XII/2024,2024,13,2029-12-02,Masih berlaku
1228,Akademi Fisioterapi YAB Yogyakarta,Baik,1219/SK/BAN-PT/Ak/PT/VI/2024,2024,05,2029-06-25,Masih berlaku
3930,Akademi Gizi Karya Husada Kediri,Baik,999/SK/BAN-PT/Akred/PT/XII/2020,2020,07,2025-12-01,Masih berlaku
933,Akademi Ilmu Gizi YPAG Makassar,Baik,1548/SK/BAN-PT/Ak.P/PT/VIII/2024,2024,09,2026-08-14,Masih berlaku
2443,Akademi Ilmu Komputer Ternate,Baik,1959/SK/BAN-PT/Ak/PT/XI/2022,2022,12,2027-11-29,Masih berlaku
1814,Akademi Ilmu Pelayaran Nusa Tenggara,Baik,1002/SK/BAN-PT/Ak/PT/XI/2023,2023,08,2028-11-28,Masih berlaku
29,Akademi Informatika Dan Komputer Medicom,Baik,2138/SK/BAN-PT/Ak.Ppj/PT/IV/2025,2025,01,2030-04-20,Masih berlaku
1263,Akademi Inovasi Indonesia,Baik,1141/SK/BAN-PT/Ak.P/PT/VI/2024,2024,06,2026-06-04,Masih berlaku
907,Akademi Kebidanan Aifa Husada,Baik,1549/SK/BAN-PT/Ak.P/PT/VIII/2024,2024,07,2026-08-14,Masih berlaku
1001,Akademi Kebidanan Aisyah Kabupaten Pangkep,Baik,1489/SK/BAN-PT/Ak.P/PT/VIII/2024,2024,09,2026-08-13,Masih berlaku
1693,Akademi Kebidanan Aisyiyah Serang,Baik,1234/SK/BAN-PT/PEPA-Ppj/PT/XII/2023,2023,04,2028-12-20,Masih berlaku
2018,Akademi Kebidanan Al-Ikhlas Cisarua,Baik,648/SK/BAN-PT/Ak.Ppj/PT/IX/2023,2023,04,2028-09-06,Masih berlaku
2100,Akademi Kebidanan Alifa Pringsewu Lampung,Baik,528/SK/BAN-PT/Ak.Ppj/PT/VIII/2023,2023,02,2028-08-17,Masih berlaku
3270,Akademi Kebidanan Anugerah Bintan,B,1107/SK/BAN-PT/Ak-PPJ/PT/XII/2021,2021,17,2026-12-28,Masih berlaku
2470,Akademi Kebidanan Ar-Rahma,Baik,1927/SK/BAN-PT/Ak/PT/XI/2022,2022,07,2027-11-22,Masih berlaku
1835,Akademi Kebidanan Ar-Rahmah Bandung,Baik,1037/SK/BAN-PT/Ak.Ppj/PT/XI/2023,2023,04,2028-12-13,Masih berlaku
885,Akademi Kebidanan Aru,Baik,1612/SK/BAN-PT/Ak.P/PT/VIII/2024,2024,12,2026-08-18,Masih berlaku
1689,Akademi Kebidanan As-Syifa Kisaran,Baik,1216/SK/BAN-PT/PEPA-Ppj/PT/XII/2023,2023,01,2028-11-09,Masih berlaku
3463,Akademi Kebidanan Assyifa Tangerang,Baik,631/SK/BAN-PT/Akred/PT/VII/2021,2021,04,2026-07-13,Masih berlaku
936,Akademi Kebidanan Bakti Indonesia Balikpapan,Baik,1550/SK/BAN-PT/Ak.P/PT/VIII/2024,2024,11,2026-08-14,Masih berlaku
1056,Akademi Kebidanan Bakti Indonesia Bogor,Baik,1450/SK/BAN-PT/Ak.P/PT/VIII/2024,2024,04,2026-08-06,Masih berlaku
2314,Akademi Kebidanan Bakti Nusantara Rantepao,Baik,186/SK/BAN-PT/Ak/PT/III/2023,2023,09,2028-03-14,Masih berlaku
403,Akademi Kebidanan Bandung,Baik,2109/SK/BAN-PT/Ak/PT/XI/2024,2024,04,2029-11-19,Masih berlaku
2155,Akademi Kebidanan Banjarbaru,Baik,443/SK/BAN-PT/Ak.Ppj/PT/VI/2023,2023,11,2028-07-10,Masih berlaku
929,Akademi Kebidanan Banua Bina Husada,Baik,1551/SK/BAN-PT/Ak.P/PT/VIII/2024,2024,11,2026-08-14,Masih berlaku
2752,Akademi Kebidanan Baruna Husada Sibuhuan,Baik,1493/SK/BAN-PT/Ak.KP/PT/IX/2022,2022,01,2026-07-15,Masih berlaku
2826,Akademi Kebidanan Batari Toja,Baik,1246/SK/BAN-PT/Ak.KP/PT/IX/2022,2022,09,2025-05-10,17 hari lagi kedaluwarsa
3631,Akademi Kebidanan Betang Asi Raya,Baik,352/SK/BAN-PT/Akred/PT/IV/2021,2021,11,2026-04-20,Masih berlaku
3998,Akademi Kebidanan Bhakti Asih Cileduk,Baik,864/SK/BAN-PT/Akred/PT/X/2020,2020,04,2025-10-21,Masih berlaku
2981,Akademi Kebidanan Bina Husada,Baik,953/SK/BAN-PT/Ak.KP/PT/IX/2022,2022,04,2025-07-11,79 hari lagi kedaluwarsa
3826,Akademi Kebidanan Bina Husada Serang,Baik,1184/SK/BAN-PT/Akred/PT/XII/2020,2020,04,2025-12-22,Masih berlaku
607,Akademi Kebidanan Bina Nusantara Mandiri,Baik,1880/SK/BAN-PT/Ak.P/PT/X/2024,2024,10,2026-10-15,Masih berlaku
3708,Akademi Kebidanan Borneo Medistra,Baik,209/SK/BAN-PT/Akred/PT/III/2021,2021,11,2026-03-16,Masih berlaku
3815,Akademi Kebidanan Budi Mulia,Baik,1162/SK/BAN-PT/Akred/PT/XII/2020,2020,10,2025-12-22,Masih berlaku
2880,Akademi Kebidanan Budi Mulia Palembang,Baik,1483/SK/BAN-PT/Ak.KP/PT/IX/2022,2022,02,2025-06-28,66 hari lagi kedaluwarsa
2805,Akademi Kebidanan Budi Mulia Prabumulih,Baik,1285/SK/BAN-PT/Ak.KP/PT/IX/2022,2022,02,2025-06-23,61 hari lagi kedaluwarsa
796,Akademi Kebidanan Bunda Auni Bogor,Baik,1713/SK/BAN-PT/Ak.P/PT/VIII/2024,2024,04,2026-08-27,Masih berlaku
2997,Akademi Kebidanan Bunga Bangsaku Bangka,Baik,857/SK/BAN-PT/Ak.KP/PT/IX/2022,2022,02,2025-07-05,73 hari lagi kedaluwarsa
1719,Akademi Kebidanan Bunga Husada,Baik,1187/SK/BAN-PT/Ak.Ppj/PT/XII/2023,2023,11,2028-12-29,Masih berlaku
1630,Akademi Kebidanan Citama Raya Depok,Tidak Terakreditasi,77/SK/BAN-PT/PEPA-Ppj/PT/I/2024,2024,04,,Masih berlaku
950,Akademi Kebidanan Darul Husada,Baik,1552/SK/BAN-PT/Ak.P/PT/VIII/2024,2024,13,2026-08-14,Masih berlaku
1679,Akademi Kebidanan Dharma Husada Kediri,Baik,1191/SK/BAN-PT/PEPA-Ppj/PT/XII/2023,2023,07,2028-09-14,Masih berlaku
2955,Akademi Kebidanan Dharma Praja Bondowoso,Baik,878/SK/BAN-PT/Ak.KP/PT/IX/2022,2022,07,2025-06-13,51 hari lagi kedaluwarsa
839,Akademi Kebidanan Farmako Husada Al-Muchtari Bogor,Baik,1635/SK/BAN-PT/Ak.P/PT/VIII/2024,2024,04,2026-08-18,Masih berlaku
2867,Akademi Kebidanan Gatra Buana Gurabati Tidore,Baik,1354/SK/BAN-PT/Ak.KP/PT/IX/2022,2022,12,2025-08-08,107 hari lagi kedaluwarsa
615,Akademi Kebidanan Gema Nusantara Bekasi,Baik,1881/SK/BAN-PT/Ak.P/PT/X/2024,2024,04,2026-10-15,Masih berlaku
798,Akademi Kebidanan Global Medika,Baik,1708/SK/BAN-PT/Ak.P/PT/VIII/2024,2024,07,2026-08-27,Masih berlaku
2071,Akademi Kebidanan Graha Husada Cirebon,Baik,589/SK/BAN-PT/Ak.Ppj/PT/IX/2023,2023,04,2028-06-07,Masih berlaku
2779,Akademi Kebidanan Graha Husada Sampang,Baik,1293/SK/BAN-PT/Ak.KP/PT/IX/2022,2022,07,2026-01-30,Masih berlaku
900,Akademi Kebidanan Hampar Baiduri,Baik,1615/SK/BAN-PT/Ak.P/PT/VIII/2024,2024,02,2026-08-18,Masih berlaku
1315,Akademi Kebidanan Harapan Bunda Bima,Baik,1098/SK/BAN-PT/Ak.Ppj/PT/V/2024,2024,08,2029-05-29,Masih berlaku
3611,Akademi Kebidanan Harapan Ibu Langsa,Baik,373/SK/BAN-PT/Akred/PT/IV/2021,2021,13,2026-04-27,Masih berlaku
2685,Akademi Kebidanan Harapan Ibu Pekalongan,Baik,1557/SK/BAN-PT/Ak.Ppj/PT/IX/2022,2022,06,2027-10-11,Masih berlaku
3556,Akademi Kebidanan Harapan Keluarga,B,472/SK/BAN-PT/Ak-PPJ/PT/V/2021,2021,01,2026-05-21,Masih berlaku
2815,Akademi Kebidanan Harapan Mulya Ponorogo,Baik,1226/SK/BAN-PT/Ak.KP/PT/IX/2022,2022,07,2025-06-23,61 hari lagi kedaluwarsa
3966,Akademi Kebidanan Indragiri,Baik,942/SK/BAN-PT/Akred/PT/XI/2020,2020,10,2025-11-11,Masih berlaku
464,Akademi Kebidanan Isma Husada Cirebon,Baik,2085/SK/BAN-PT/Ak.B/PT/XI/2024,2024,04,2026-11-12,Masih berlaku
1678,Akademi Kebidanan Jember,Baik,1193/SK/BAN-PT/PEPA-Ppj/PT/XII/2023,2023,07,2028-09-07,Masih berlaku
1490,Akademi Kebidanan KH Putra,Baik,312/SK/BAN-PT/Ak/PT/III/2024,2024,06,2029-03-20,Masih berlaku
2003,Akademi Kebidanan Karya Bunda Husada,B,699/SK/BAN-PT/Ak.Ppj/PT/X/2023,2023,04,2028-08-01,Masih berlaku
1064,Akademi Kebidanan Keris Husada,Baik,1425/SK/BAN-PT/Ak.P/PT/VII/2024,2024,03,2026-07-30,Masih berlaku
3722,Akademi Kebidanan Kharisma Husada Binjai,Baik,175/SK/BAN-PT/Akred/PT/III/2021,2021,01,2026-03-09,Masih berlaku
300,Akademi Kebidanan Konawe,Baik,2216/SK/BAN-PT/Ak/PT/XII/2024,2024,09,2029-12-11,Masih berlaku
2807,Akademi Kebidanan Kutai Husada,Baik,1158/SK/BAN-PT/Ak.KP/PT/IX/2022,2022,11,2025-06-28,66 hari lagi kedaluwarsa
1399,Akademi Kebidanan Langkat,Baik,450/SK/BAN-PT/Ak.Ppj/PT/IV/2024,2024,01,2029-04-24,Masih berlaku
2949,Akademi Kebidanan Madani Sinjai,Baik,1030/SK/BAN-PT/Ak.KP/PT/IX/2022,2022,09,2025-05-10,17 hari lagi kedaluwarsa
734,Akademi Kebidanan Madina Husada,Baik,1775/SK/BAN-PT/Ak.Ppj/PT/IX/2024,2024,01,2029-06-13,Masih berlaku
3343,Akademi Kebidanan Mandiri Gresik,Baik,904/SK/BAN-PT/Akred/PT/X/2021,2021,07,2026-10-13,Masih berlaku
1242,Akademi Kebidanan Manna,Baik,1179/SK/BAN-PT/Ak.P/PT/VI/2024,2024,02,2026-06-25,Masih berlaku
1628,Akademi Kebidanan Mardi Rahayu,Tidak Terakreditasi,62/SK/BAN-PT/PEPA-Ppj/PT/I/2024,2024,06,,Masih berlaku
2386,Akademi Kebidanan Matorkis,Baik,75/SK/BAN-PT/Ak/PT/II/2023,2023,01,2028-02-07,Masih berlaku
1212,Akademi Kebidanan Medica Bakti Persada,Baik,1245/SK/BAN-PT/Ak.P/PT/VI/2024,2024,13,2026-06-26,Masih berlaku
2040,Akademi Kebidanan Mega Buana,Baik,626/SK/BAN-PT/Ak-PNB/PT/IX/2023,2023,09,2025-05-10,17 hari lagi kedaluwarsa
2295,Akademi Kebidanan Menara Primadani,Baik,224/SK/BAN-PT/Ak/PT/III/2023,2023,09,2028-03-28,Masih berlaku
667,Akademi Kebidanan Minasa Upa,Baik,1840/SK/BAN-PT/Ak.Ppj/PT/X/2024,2024,09,2029-05-01,Masih berlaku
1208,Akademi Kebidanan Munawarrah Bireuen,Baik,1249/SK/BAN-PT/Ak.P/PT/VI/2024,2024,13,2026-06-26,Masih berlaku
414,Akademi Kebidanan Murung Raya,Baik,2112/SK/BAN-PT/Ak.P/PT/XI/2024,2024,11,2026-11-19,Masih berlaku
1314,Akademi Kebidanan Muslimat Nahdlatul Ulama Kudus,Baik,1099/SK/BAN-PT/Ak.Ppj/PT/V/2024,2024,06,2029-05-22,Masih berlaku
1180,Akademi Kebidanan Nusantara Indonesia Lubuklinggau,Baik,1297/SK/BAN-PT/Ak.P/PT/VII/2024,2024,02,2026-07-02,Masih berlaku
831,Akademi Kebidanan Nusantara Jaya,Baik,1643/SK/BAN-PT/Ak.P/PT/VIII/2024,2024,12,2026-08-18,Masih berlaku
1675,Akademi Kebidanan Palapa Husada,Baik,1207/SK/BAN-PT/PEPA-Ppj/PT/XII/2023,2023,01,2028-10-12,Masih berlaku
3528,Akademi Kebidanan Palu Sulawesi Tengah,Baik,525/SK/BAN-PT/Akred/PT/VI/2021,2021,16,2026-06-08,Masih berlaku
3163,Akademi Kebidanan Panca Bhakti,Baik Sekali,242/SK/BAN-PT/AK-ISK/PT/VI/2022,2022,11,2025-10-04,164 hari lagi kedaluwarsa
3109,Akademi Kebidanan Paramata Raha,Baik,353/SK/BAN-PT/Akred/PT/VII/2022,2022,09,2027-07-13,Masih berlaku
1776,Akademi Kebidanan Pasaman Barat,Baik,1117/SK/BAN-PT/Ak.Ppj/PT/XII/2023,2023,10,2028-12-20,Masih berlaku
2921,Akademi Kebidanan Pemkot Tebing Tinggi,Baik,952/SK/BAN-PT/Ak.KP/PT/IX/2022,2022,PTKL,2025-12-30,Masih berlaku
896,Akademi Kebidanan Prestasi Agung,Baik,1618/SK/BAN-PT/Ak.P/PT/VIII/2024,2024,02,2026-08-18,Masih berlaku
1951,Akademi Kebidanan Prima Husada,Baik,808/SK/BAN-PT/Ak.Ppj/PT/X/2023,2023,04,2028-11-08,Masih berlaku
1006,Akademi Kebidanan Public Health Medical Nursing,Baik,1484/SK/BAN-PT/Ak.P/PT/VIII/2024,2024,13,2026-08-13,Masih berlaku
2841,Akademi Kebidanan Rangga Husada Prabumulih,Baik,1148/SK/BAN-PT/Ak.KP/PT/IX/2022,2022,02,2025-05-16,23 hari lagi kedaluwarsa
2994,Akademi Kebidanan Rizki Patya,Baik,859/SK/BAN-PT/Ak.KP/PT/IX/2022,2022,02,2025-06-13,51 hari lagi kedaluwarsa
2454,Akademi Kebidanan Sakinah,Baik,1956/SK/BAN-PT/Ak/PT/XI/2022,2022,07,2027-11-29,Masih berlaku
969,Akademi Kebidanan Saleha,Baik,1510/SK/BAN-PT/Ak.P/PT/VIII/2024,2024,13,2026-08-13,Masih berlaku
100,Akademi Kebidanan Santa Elisabeth Kefamenanu,Baik,2067/SK/BAN-PT/Ak/PT/III/2025,2025,15,2030-03-11,Masih berlaku
686,Akademi Kebidanan Sari Husada,Baik,1827/SK/BAN-PT/Ak.B/PT/X/2024,2024,01,2026-10-03,Masih berlaku
3823,Akademi Kebidanan Sayid Sabiq Indramayu,Baik,1173/SK/BAN-PT/Akred/PT/XII/2020,2020,04,2025-12-22,Masih berlaku
3583,Akademi Kebidanan Sehati,Baik,416/SK/BAN-PT/Akred/PT/V/2021,2021,01,2026-05-11,Masih berlaku
2627,Akademi Kebidanan Sempena Negeri Pekanbaru,Baik,1641/SK/BAN-PT/Ak/PT/X/2022,2022,17,2027-10-11,Masih berlaku
1133,Akademi Kebidanan Sentra Bina Yudistira Tangerang,Baik,1333/SK/BAN-PT/Ak.P/PT/VII/2024,2024,04,2026-07-09,Masih berlaku
2664,Akademi Kebidanan Sentral Padang Sidempuan,Baik,1581/SK/BAN-PT/Ak/PT/X/2022,2022,01,2027-10-04,Masih berlaku
2872,Akademi Kebidanan Sinar Kasih Toraja,Baik,1320/SK/BAN-PT/Ak.KP/PT/IX/2022,2022,09,2025-07-05,73 hari lagi kedaluwarsa
