No,Perguruan Tinggi,Peringkat,No. SK,Tahun SK,Wilayah,Tanggal Kadaluarsa,Status Kadaluarsa
3902,Sekolah Tinggi Agama Islam Pangeran Dharma Kusuma Segeran Indramayu,Baik,1063/SK/BAN-PT/Akred/PT/XII/2020,2020,PTAS,2025-12-08,Masih berlaku
225,Sekolah Tinggi Agama Islam Persatuan Islam Jakarta,Baik,36/SK/BAN-PT/Ak.P/PT/I/2025,2025,PTAS,2027-01-21,Masih berlaku
148,Sekolah Tinggi Agama Islam Raden Abdullah Yaqin,Baik,87/SK/BAN-PT/Ak.P/PT/II/2025,2025,PTAS,2027-02-18,Masih berlaku
4082,Sekolah Tinggi Agama Islam Rasyidiyah Khalidiyah Kalimantan Selatan,B,247/SK/BAN-PT/Ak-PPJ/PT/V/2020,2020,PTAS,2025-05-16,23 hari lagi kedaluwarsa
451,Sekolah Tinggi Agama Islam Raudhatul Ulum Arrahmaniyah Sampang,Baik,2075/SK/BAN-PT/Ak.P/PT/XI/2024,2024,PTAS,2026-11-12,Masih berlaku
2836,Sekolah Tinggi Agama Islam Rokan Besar Batu Rokan Hilir Riau,Baik,1275/SK/BAN-PT/Ak.KP/PT/IX/2022,2022,PTAS,2025-05-16,23 hari lagi kedaluwarsa
3202,Sekolah Tinggi Agama Islam Sabilul Muttaqqin Mojokerto Jawa Timur,Baik,115/SK/BAN-PT/Akred/PT/III/2022,2022,PTAS,2027-03-08,Masih berlaku
364,Sekolah Tinggi Agama Islam Sadra,C,2154/SK/BAN-PT/Ak-PNB/PT/XI/2024,2024,PTAS,2026-08-18,Masih berlaku
630,Sekolah Tinggi Agama Islam Salafiyah Bangil,Baik,1892/SK/BAN-PT/Ak.P/PT/X/2024,2024,PTAS,2026-10-15,Masih berlaku
2837,Sekolah Tinggi Agama Islam Salahuddin,Baik,1481/SK/BAN-PT/Ak.KP/PT/IX/2022,2022,PTAS,2025-05-16,23 hari lagi kedaluwarsa
1389,Sekolah Tinggi Agama Islam Samarinda,Baik,481/SK/BAN-PT/Ak.Ppj/PT/IV/2024,2024,PTAS,2029-05-08,Masih berlaku
4068,Sekolah Tinggi Agama Islam Sangatta Kutai Timur,B,349/SK/BAN-PT/Ak-PPJ/PT/VI/2020,2020,PTAS,2025-06-13,51 hari lagi kedaluwarsa
3096,Sekolah Tinggi Agama Islam Sayid Mohammad Alawi Al Maliki,Baik,381/SK/BAN-PT/Ak/PT/VII/2022,2022,PTAS,2027-07-20,Masih berlaku
536,Sekolah Tinggi Agama Islam Senori Tuban,Baik,1984/SK/BAN-PT/Ak/PT/X/2024,2024,PTAS,2029-10-29,Masih berlaku
2720,Sekolah Tinggi Agama Islam Sepakat Segenep Kutacane,Baik,1225/SK/BAN-PT/Ak.KP/PT/IX/2022,2022,PTAS,2025-08-30,129 hari lagi kedaluwarsa
718,Sekolah Tinggi Agama Islam Sidogiri Pasuruan,Baik,1789/SK/BAN-PT/Ak.P/PT/IX/2024,2024,PTAS,2026-09-17,Masih berlaku
2856,Sekolah Tinggi Agama Islam Solok Nan Indah,Baik,1400/SK/BAN-PT/Ak.KP/PT/IX/2022,2022,PTAS,2025-07-05,73 hari lagi kedaluwarsa
