No,Perguruan Tinggi,Program Studi,Program,Tanggal Terima,Status
1240,Universitas Airlangga,Ilmu Perikanan,S2,2019-07-25,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2019-08-06)
1236,Universitas Gadjah Mada,Bahasa Inggris,D-IV,2019-07-15,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2019-07-30)
1234,Universitas Gadjah Mada,Bisnis Perjalanan Wisata,D-IV,2019-07-15,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2019-07-30)
1235,Universitas Gadjah Mada,Teknologi Survei dan Pemetaan Dasar,D-IV,2019-07-15,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2019-07-30)
1233,Universitas Gadjah Mada,Teknologi Veteriner,D-IV,2019-07-15,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2019-07-30)
1223,Universitas Gadjah Mada,Pengelolaan Hutan,D-IV,2019-07-01,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2019-07-23)
1222,Universitas Gadjah Mada,Pengembangan Produk Agroindustri,D-IV,2019-07-01,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2019-07-23)
1237,Institut Teknologi Sepuluh Nopember,Profesi Insinyur,Profesi,2019-06-28,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2019-07-30)
1229,Universitas Gadjah Mada,Sistem Informasi Geografis,D-IV,2019-06-28,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2019-07-24)
1228,Universitas Hasanuddin,Ilmu Aktuaria,S1,2019-06-28,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2019-07-23)
1227,Universitas Hasanuddin,Teknik Informatika,S2,2019-06-28,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2019-07-23)
1226,Universitas Hasanuddin,Teknik Lingkungan,S2,2019-06-28,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2019-07-23)
1225,Universitas Hasanuddin,Statistika,S2,2019-06-28,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2019-07-23)
1224,Universitas Hasanuddin,Matematika,S3,2019-06-28,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2019-07-23)
1247,Universitas Diponegoro,Psikologi,S2,2019-06-26,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2019-09-25)
1246,Universitas Diponegoro,Teknik Lingkungan,S2,2019-06-26,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2019-09-25)
1232,Universitas Diponegoro,Teknik Infrastruktur Sipil dan Perancangan Arsitektur,D-IV,2019-06-26,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2019-07-29)
1231,Universitas Diponegoro,Teknologi Rekayasa Kontruksi Perkapalan,D-IV,2019-06-26,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2019-07-29)
1230,Universitas Diponegoro,Perencanaan Tata Ruang dan Pertanahan,D-IV,2019-06-26,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2019-07-29)
1221,Universitas Gadjah Mada,Teknik Biomedis,S1,2019-05-20,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2019-06-18)
1194,Sekolah Tinggi Agama Islam Negeri Mandailing Natal,Tadris Bahasa Inggris,S1,2019-05-08,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2019-06-12)
1182,Sekolah Tinggi Agama Islam Negeri Mandailing Natal,Pendidikan Islam Anak Usia Dini,S1,2019-05-08,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2019-06-12)
