No,Provinsi SPPG,Kab./Kota SPPG,Alamat Dapur SPPG,Nama Yayasan
223,Lampung,Lampung Timur,"Desa Taman Cari, Kec. Purbolinggo, Lampung Timur, Rt/Rw: 015/07",Yayasan Indonesia Food Security Review
224,Lampung,Lampung Timur,Srimenanti,Ahmad Faisol Sb
225,Lampung,Pesawaran,Kurungan Nyawa,Yayasan Alrafaeyza Malik Nurman
226,Lampung,Pringsewu,Tulung Agung,Yayasan Bangun Sukses Mandiri
227,Lampung,Way Kanan,Lembahsung,Yayasan Prabu Center Kosong Delapan
228,Lampung,Way Kanan,Tamansari,Yayasan Prabu Center Kosong Delapan
229,Lampung,Way Kanan,Bakti Nagara,Yayasan Cahaya Langowan Nusantara
230,Maluku,Kota Ambon,"Jl. Raya Stain, Batu Merah, Kota Ambon",Yayasan Seram Raya Al Aziz
231,Maluku,Kota Ambon,"Jl.Amanhuse, Lorong Sipadore Desa Erie",Yayasan Pelangi Maluku
232,Maluku,Kota Ambon,"Jl. Dr. Kayadoe, Kel Kudamati, Nusaniwe Kota Ambon",Yayasan Pelangi Maluku
233,Maluku,Seram Bagian Barat,"Desa Kamal, Kairatu Barat",Yayasan Seram Raya Al Aziz
234,Papua,Kab. Jayapura,Puspenka Hawai Sentani Kab. Jayapura,Yayasan Prabu 08
235,Papua,Kab. Jayapura,Jl. Raya Kemiri Sentani Kab. Jayapura Samping Saga Fresh Pasar Baru,Yayasan Prabu 08
236,Papua,Jayapura,"Kompleks Sit Insan Cendekia Jayapura, Jl. Yowanibi, Rt.001/Rw.011, Doyo Baru, Distrik Waibu, Kabupaten Jayapura, Papua 99369",Yayasan Insan Cendikia Jayapura
237,Papua,Jayapura,"Jalan Samping Kantor Kelurahan Sentani Kota, Kec. Sentani, Kabupaten Jayapura, Papua 99359",Yayasa Kasih Iman Samuel Papua
238,Papua,Kabupaten Sarmi,Jl. Basecamp Sarmi,Yayasan Pendidikan Dan Persekolahan Katolik Fransiskus Asisi
239,Papua,Kepulauan Yapen,"Jln. Pertamina, Rt.001/001, Barawaikap, Yapen Selatan.",Kitong Bisa
240,Papua,Kota Jayapura,"Jl. Raya Abepura(Depan Kantor Samsat), Kel. Kotabaru , Kec. Abepura, Kota Jayapura, Papua",Yayasan Bersama Berkarya Papua
241,Papua,Kota Jayapura,"Jl. Tobati Holtekamp Pantai Hamadi, Kec. Jayapura Selatan",Yayasan Anak Sehat Berkualitas
