No,Provinsi SPPG,Kab./Kota SPPG,Alamat Dapur SPPG,Nama Yayasan
56,Jawa Barat,Bandung,Ereng Wetan Rt01/Rw12 Ds Bojongemas Kec Solokan Jeruk Bandung,Yayasan Buana Mutiara Insani
57,Jawa Barat,Bandung Barat,"Jl. Permata Cimahi Blok A No.7, Rt.005 Rw.012, Kelurahan Tanimulya",Yayasan Farisa Bakti Persada
58,Jawa Barat,Bekasi,"Perum Vila Mutiara Cikarang B2 No 34 Desa Ciantra, Kec Cikarang Selatan, Bekasi Jawa Barat",Yayasan Nurut Thoyibah
59,Jawa Barat,Bekasi,"Jl Bawang Raya 11 No 64 Rt 004 Rw 08 Desan Cimuning, Kec Mustikajaya, Kota Bekasi, Jawa Barat",Yayasan Nurut Thoyibah
60,Jawa Barat,Bekasi,Perumahan Bumi Anggrek Blok Q No 8 Desa Rancasari Kec Tambun Utara Bekasi,Yayasan Mishbahul Huda Pamanukan
61,Jawa Barat,Ciamis,"Jl. Ahmad Yani No.221 Rt 002 / Rw 002, Kel. Kertasari, Kec. Ciamis, Ciamis",Arroja Alarif Ciamis
62,Jawa Barat,Ciamis,Dsn. Mekarmulya Rt 004 Rw 005 Ds. Jelat Kec. Baregbeg,Asra Bakti Maritim
63,Jawa Barat,Ciamis,Jl. Puspalubis Bolenglang Kertasari Ciamis,Yayasan Pendidikan Pondok Pesantren Al Hasan
64,Jawa Barat,Ciamis,Dusun Gunungrasa Rt 13 Rw 007 Desa Gunungcupu Kec Sindangkasih Ciamis,Yayasan Asra Bakti Maritim
65,Jawa Barat,Cianjur,Jl. Abdullah Bin Nuh Rt 03 Rw 07 Desa Nagrak Kec Cianjur Jawa Barat 43211,Yayasan Tunas Mekar Cianjur
66,Jawa Barat,Cianjur,Kp Rancagoong Rt 002 Rw 005 Desa Rancagoong Kec Cilaku Cianjur Jawa Barat 43285,Yayasan Tunas Mekar Cianjur
67,Jawa Barat,Cianjur,"Kp. Sukawening Rt/Rw 003/001, Kelurahan Sukamekar, Desa Sukamekar, Kecamatan Sukanagara",Yayasan Aku Cinta Cianjur
68,Jawa Barat,Cirebon,Jl. Pamengkang Raya No. 111 Rt 001/Rw 004,Yayasan Asra Bakti Maritim
69,Jawa Barat,Garut,"Jl. Garut - Tasikmalaya No.36, Rt.001/Rw.002, Ngamplangsari, Kec. Cilawu, Kabupaten Garut, Jawa Barat",Persyarikatan Muhammadiyah
70,Jawa Barat,Garut,"Jl. Raya Bayongbong - Garut No.Km, Rw. 1, Muara Sanding, Kec. Garut Kota,  Kabupaten Garut, Jawa Barat 44119",Yayasan Mualaf Indonesia Timur
71,Jawa Barat,Garut,Jl. Limbangan Barat No.16 Da. Cigagade,Yayasan Cahaya Wirabangsa
72,Jawa Barat,Indramayu,Jl. Pesisir Syek Sama'un Rt 01 /Rw 08 Desa Dadap Kecamatan Juntinyuat Kabupaten Indramayu Provinsi Jawa Barat,Yayasan Buana Mutiara Insani
73,Jawa Barat,Indramayu,Jln. Raya Jatibarang Kadipaten Desa Lajer Kec. Tukdana Indramayu,Yayasan Buana Mutiara Insani
74,Jawa Barat,Karawang,"Dusun Krajan Rt 03 Rw 01 Desa Batujaya, Kec Batujaya, Karawang, Jawa Barat",Yayasan Nurut Thoyibah
75,Jawa Barat,Karawang,"Jl. H. Mochamad Toyib, Dusun Cibuaya 1, Rt001/Rw001, Desa Cibuaya, Kec. Cibuaya, Karawang",Yayasan Pendidikan Islam Al Faridiyah
76,Jawa Barat,Karawang,"Kp. Babakan Bogor Rt 01 Rw 05 Desa Dawuan Barat, Kec. Cikampek, Karawang",Yayasan Al Insyirah Firdausy Mobarok
77,Jawa Barat,Karawang,Jln.Anjun Kanoman Kel.Karawang Kulon Kec.Karawang Barat,Yayasan Nurut Thoyibah
78,Jawa Barat,Karawang,"Jl. Manunggal Xix, Pasirjengkol, Kec. Majalaya, Karawang, Jawa Barat 41388",Yayasan Pendidikan Alam Jaya
79,Jawa Barat,Karawang,"Jl.Raya Pangkalan, Ds.Jatilaksana, Kec. Pangkalan, Karawang",Yayasan Alinsyirah Firdausy Mobarok
80,Jawa Barat,Karawang,"Dsn. Barugbug Rt 003/002 Desa Wanasari, Kec.Telukjambe Barat, Karawang",Yayasan Alinsyirah Firdausy Mobarok
81,Jawa Barat,Karawang,"Kp. Budaya Ds. Wadas, Kec. Telukjambe Timur, Karawang",Yayasan Alinsyirah Firdausy Mobarok
82,Jawa Barat,Karawang,"Jl. Pasir Panggang Dusun Gempol Girang Rt 12 /Rw 7 Desa Sukamakmur, Telukjambe Timur, Karawang, Jawa Barat",Yayasan Naraya Jati Luhur
83,Jawa Barat,Kota Bandung,Jl Elang No 37 Rt/Rw 03/11 Kelurahan Maleber Kecamatan Andir,Yayasan Suyono Mihartawijaya
84,Jawa Barat,Kota Bandung,"Jl. Sahardjo, Kel. Sukamiskin, Kec. Arcamanik, Kota Bandung, Jawa Barat",Yayasan Kemala Bhayangkari
85,Jawa Barat,Kota Bandung,"Jl.Raya Kopo No.176 , Babakan Asih , Kec. Bojong Loa Kaler , Kota Bandung,40232",Darul Akrim Inayah
86,Jawa Barat,Kota Bandung,Jl. Brantas No. 30 Kota Bandung,Yayasan Desa Wisata Qur'an (Hamasah)
87,Jawa Barat,Kota Bandung,Jl.Rereongan Sarupi,Yayasan Amanah Puri Annisa
88,Jawa Barat,Kota Bandung,"Jalan Pajajaran No 42, Pasir Kaliki, Bandung",Yayasan Cahaya Solid Berdaya
89,Jawa Barat,Kota Bandung,Jl.Reog 21 Turangga Bandung,Amanah Puri Annisa
90,Jawa Barat,Kota Bandung,"Jl. Ciwastra No. 189 Rt 006 Rw 008, Kel. Mekarjaya, Kec. Rancasari, Kota Bandung",Yayasan Amanah Puri Annisa
91,Jawa Barat,Kota Bandung,Jl. Setrawangi Selatan I No.1 Rt 02 Rw 04 Sukagalih Sukajadi,Yayasan Suyono Mihartawijaya
92,Jawa Barat,Kota Banjar,Jln.Ps Langensari Desa Muktisari,Yayasan Amanah Puri Annisa
93,Jawa Barat,Kota Banjar,Dusun Pananjung Timur Rt 25 Rw 06,Yayasan Amanah Puri Annisa
94,Jawa Barat,Kota Bekasi,"Jl. Kh. Agus Salim Gg. Angsana 1 No.158 Rt.008/Rw.007, Bekasi Jaya,",Yayasan Mishbahul Huda Pamanukan
95,Jawa Barat,Kota Depok,"Jl. Alternatif Transyogi No. 23 Kel. Harjamukti, Kec. Cimanggis Depok",Yayasan Salam Mughni Abadi
96,Jawa Barat,Kota Depok,"Jl. Mekarsari Raya No.15, Kel. Mekarsari, Cimanggis, Depok",Yayasan Bina Trubus Swadaya
97,Jawa Barat,Kota Depok,"Jl. H. Sulaiman No.4, Rt.003/Rw.002, Bedahan, Kec. Sawangan, Kota Depok",Pt. Jak Farm Nusantara (Jj Catering)
98,Jawa Barat,Kota Depok,"Jl. K.H.M. Yusuf Raya No.3, Mekar Jaya, Kec. Sukmajaya, Kota Depok",Yayasan Salam Mughni Abadi
99,Jawa Barat,Kota Sukabumi,Jl Arif Rahman Hakim No 75,Project Local Sukabumi
100,Jawa Barat,Kota Tasikmalay a,Perum Griya Mangin Persada Blok. C No 37 Rt.04 Rw.05 Kel. Bungursari Kec. Bungursari Kota Tasikmalaya,Yayasan Asra Bakti Maritim
101,Jawa Barat,Kota Tasikmalay a,Kp. Ranggon Rt. 001 Rw 003 Kel. Setianagara Kec. Cibeureum,Yayasan Amanah Puri Annisa
102,Jawa Barat,Kota Tasikmalay a,"Jl. Terusan Bca No.8, Tuguraja, Kec. Cihideung, Tasikmalaya, Jawa Barat",Yayasan Madaarisul âUluum Cihideung Balong
103,Jawa Barat,Kota Tasikmalay a,Jl. Cihideung Balong No. 46 Kel. Nagarawangi Kec.Cihideung Kota Tasikmalaya,Yayasan Amanah Puri Annisa
104,Jawa Barat,Kota Tasikmalay a,"Jl. Ir. H. Juanda, Kel. Panglayungan, Kec. Cipedes, Kotatasikmalaya",Yayasan Asra Bakti Maritim
105,Jawa Barat,Kota Tasikmalay a,"Jalan Noenoeng Tisnasaputra No. 29, Kahuripan, Tawang, Kota Tasikmalaya, Jawa Barat",Yayasan Madaarisul âUluum Cihideung Balong
106,Jawa Barat,Kota Tasikmalay a,"Jl. Batik-Raya, Karsamenak, Kec. Kawalu, Tasikmalaya, Jawa Barat",Yayasan Madaarisul âUluum Cihideung Balong
107,Jawa Barat,Kota Tasikmalay a,"Jl. Setiawargi, Setiawargi, Kec. Tamansari, Tasikmalaya, Jawa Barat",Yayasan Madaarisul âUluum Cihideung Balong
108,Jawa Barat,Kota Tasikmalay a,Jl Setia Mulya Rt. 01 Rw 06 Kel. Setia Mulya Kec. Tamansari,Yayasan Amanah Puri Annisa
109,Jawa Barat,Kota Tasikmalay a,Jalan Siliwangi  No.97a/B Rt 01 Rw 08,Yayasan Asra Bakti Maritim
110,Jawa Barat,Kuningan,Jl. Desa Sindangsuka Rt 003 Rw 002 Blok Puhun,Permata Bunda
111,Jawa Barat,Pangandara n,"Desa Kertajaya, Dusun Kertajaya Rt/04, Rw/04, Kec. Mangunjaya, Pangandaran",Yayasan Amanah Puri Annisa
112,Jawa Barat,Purwakarta,Jl. Raya Ciwangi Desa Ciwangi Kec. Bungur Sari Purwakarta,Yayasan Mishbahul Huda Pamanukan
113,Jawa Barat,Subang,"Dusun Binong Tengah Rt/Rw 014/004, Desa Citrajaya, Kec. Binong",Yayasan Al Khawarizmi Eco Pedagogik
114,Jawa Barat,Subang,Jl. Raya Jungklang No.08 Ds. Mulyasari Kec. Binong Subang 41253,Yayasan Mishbahul Huda Pamanukan
115,Jawa Barat,Subang,Dusun Kertamukti Rt 06 Rw 2 Desa Jayamukti Kecamatan Blanakan Kabupaten Subang,Yayasan Mishbahul Huda Pamanukan
116,Jawa Barat,Subang,Dusun Dukuh Tengah Rt.1 Rw.3 Ds. Dukuh Kec. Ciasem,Yayasan Mishbahul Huda Pamanukan
117,Jawa Barat,Subang,"Kp. Babakan Simpar Rt/Rw 015/006, Desa Simpar, Kec. Cipunagara,",Yayasan Al Khawarizmi Eco Pedagogik
118,Jawa Barat,Subang,Jl. Raya Dawuan Cisampih Desa. Dawuan Kidul Kecamatan Dawuan,Yayasan Mishbahul Huda Pamanukan
119,Jawa Barat,Subang,Kp. Sukagalih Desa Sukamulya Kec. Pagaden Subang,Yayasan Graha Prima Kencana
120,Jawa Barat,Subang,Jl. Raya Rancasari Km.4 Rt.10 / Rw.4 Ds. Rancasari,Yayasan Mishbahul Huda Pamanukan
121,Jawa Barat,Subang,Jl. Cece Zakaria - Pamanukan,Yayasan Mishbahul Huda Pamanukan
122,Jawa Barat,Subang,Jl. Ra Kartini No.55 Kel. Pasirkareumbi Kec. Subang,Yayasan Graha Prima Kencana
123,Jawa Barat,Subang,Jl. Raya Pantura No. 09 Desa Batangsari Kecamatan Sukasari Kabupaten Subang,Yayasan Mishbahul Huda Pamanukan
124,Jawa Barat,Subang,Kp. Kapol Desa Sirap Rt 19 Rw 05 Kec. Tanjungsiang,Yayasan Graha Prima Kencana
125,Jawa Barat,Sukabumi,"Jl. Kadudampit No.Km. 3, Rt.16/Rw.03, Gunungjaya,",Yayasan Indonesia Food Security Review
126,Jawa Barat,Sukabumi,"Jl. Cikiray Kidul, Sukamanah, Kec. Cisaat, Kabupaten Sukabumi, Jawa Barat 43152",Yayasan Sunanul Fitroh
127,Jawa Barat,Sukabumi,"Jl. Merbabu No. 7, Kp Babakan Jampang Rt002/Rw010, Karang Tengah, Gunung Puyuh, Sukabumi, Jawa Barat",Yayasan Indonesia Food Security Review
128,Jawa Barat,Sukabumi,Jl Sukabumi Cianjur Km 7 Kp Cipetir No 888 Desa. Prianganjaya Kec. Sukalarang,Gianty Kartika Jembar
129,Jawa Barat,Sukabumi,Jl. Pelabuhan Ratu Kp. Baeud Rt01/Rw03 Desa. Warungkiara Kecamatan Warungkiara Kabupaten Sukabumi Prov. Jawa Barat,Yayasan Kiara Untuk Bangsa
130,Jawa Barat,Sumedang,"Jl. Palasari No 15 003/001 Kotakulon, Sumedang Selatan, Sumedang",Yayasan Buana Mutiara Insani
131,Jawa Barat,Sumedang,Marga Mulya I Rt.01 Rw.08 Desa Mekar Rahayu,Yayasan Insan Digdaya Mandala
132,Jawa Barat,Sumedang,Jl. Raya Raden Ali Sadikin Ex Bengkel Lisna Motor,Kuwu Asti
133,Jawa Barat,Tasikmalay a,Kp. Madur Rt. 002 Rw. 001 Bojongasih Kec. Bojongasih Tasikmalaya Jawa Barat,Yayasan Asra Bakti Maritim
134,Jawa Barat,Tasikmalay a,Kp. Ranca Kuya Rt03/Rw03 Ds. Sukamantri,Yayasan Al- Hidayah Babakan Ciselang
135,Jawa Barat,Tasikmalay a,"Kp. Banceuy, Rt. 04 Rw. 07 Desa. Singajaya, Kec. Cibalong, Tasikmalaya Jawa Barat 46185",Yayasan Asra Bakti Maritim
136,Jawa Barat,Tasikmalay a,Jl.Cigalontang Rt 005 Rw 002 Desa Jayapura,Yayasan Al- Hidayatuttaufik
137,Jawa Barat,Tasikmalay a,Jl Cilembang Rt.01 Rw.15 Kel. Cilembang Kec.Cihideung Tasikmalaya,Farnatul Muflihin
138,Jawa Barat,Tasikmalay a,"Kp. Anggalasan Rt 001/ Rw 001, Desa Kertarahayu, Kec. Jatiwaras, Tasikmalaya",Yayasan Asra Bakti Maritim
139,Jawa Barat,Tasikmalay a,"Jl. Karaha Bodas, Cirando 03/01, Desa Kadipaten, Kec Kadipaten",Yayasan Suyono Mihartawijaya
140,Jawa Barat,Tasikmalay a,"Jl. Rta. Prawira Adiningrat No.11, Margaluyu, Kec. Manonjaya,",Yayasan Madaarisul âUluum Cihideung Balong
141,Jawa Barat,Tasikmalay a,Jl. Warung Sumedang Rt 31 Rw O4 Desa Manonjaya Kec Manonjaya Tasikmalaya,Yayasan Asra Bakti Maritim
142,Jawa Barat,Tasikmalay a,Kp. Cisumur Rt 21 Rw 07 Desa Margalaksana Kecamatan Sukaraja Kabupaten Tasikmalaya,Yayasan Amanah Puri Annisa
143,Jawa Barat,Tasikmalay a,Jl. Raya Sukarame No . 08 Sukarame Tasikmalaya,Yayasan Amanah Puri Annisa
144,Jawa Barat,Tasikmalay a,"Jl. Raya Cikalong, Kp Mangkabaya, Rt 005/ Rw 006 Desa Mandalajaya, Kec. Cikalong, Tasikmalaya",Yayasan Suyono Mihartawijaya
145,Jawa Barat,Kab. Bogor,"Ruko Citra Indah Bukit Permai Blok O 01-12 Rt 00 Rw 012, Sukamaju,Jonggol  Kab Bogor",Yayasan Olivia Alaniasi Bagi Pendidikan
146,Jawa Barat,Kab. Purwakarta,"Jl. Gn. Sunda, kapling PEMDA, RT 005/RW 005, Kel. Ciseureuh, Kec. Purwakarta, Kab. Purwakarta",Yayasan AL Insyirah Firdausi Mubarok
147,Jawa Barat,Kab. Purwakarta,"Kp. Gandasari RT 08 RW 03 Ds Cigelam, Kec. Babakancikaok Kab. Purwakarta",Yayasan AL Insyirah Firdausi Mubarok
148,Jawa Barat,Kabupaten Bandung Barat,"Jl. Permata Cimahi Blok A No.7, Rt.005 Rw.012, Kelurahan Tanimulya",Yayasan Farisa Bakti Persada
149,Jawa Tengah,Banyumas,"Jl.Raya Ajibarang - Bumiayu,Ds.Cikawung Rt 001 Rw 003. Kec.Pekuncen Banyumas",Bentang Banyumas Sejahtera
150,Jawa Tengah,Banyumas,Jl Jend Soedirman Gg Ceremai No 12 Rt 01 Rw 09 Kel Rejasari Kec Purwokerto Barat Banyumas Jawa Tengah,Bentang Banyumas Sejahtera
151,Jawa Tengah,Banyumas,Dusun Ii Karangmangu Desa Karangmangu Kec Baturraden Banyumas Jawatengah,Bentang Banyumas Sejahtera
152,Jawa Tengah,Banyumas,Jl Wahid Hasyim No 77 Rt 03 Rw 10 Karang Klesem Kec Purwokerto Selatan Banyumas Jawa Tengah,Bentang Banyumas Sejahtera
153,Jawa Tengah,Banyumas,"Jl. Stasiun, Nusamangir Rt 02 Rw 01, Kemranjen, Banyumas , Jawa Tengah",Bentang Banyumas Sejahtera
154,Jawa Tengah,Banyumas,"Jl Stadion Mini I, Rt 005 Rw 004, Kel. Purwokerto Kulon",Alrahma Bhakti Jatisaba
155,Jawa Tengah,Banyumas,"Jl A Yani Rt 02 Re 03, No 4 , Dusun Ii Sokaraja Kidul, Sokaraja Kidul, Kec. Sokaraja, Kabupaten Banyumas, Jawa Tengah",Alrahma Bhakti Jatisaba
156,Jawa Tengah,BATANG,"Jl. RE Martadinata No.250, Panjangkaran Kidul, Karangasem Utara, Kec. Batang, Kabupaten Batang, Jawa Tengah 51216",Yayasan Tirto Mirah Asih
157,Jawa Tengah,Blora,"Jl Taman Makam Pahlawan, Kelurahan Tegalgunung, Kec. Blora, Blora",Yayasan Tri Boga Nusantara
158,Jawa Tengah,Blora,"Jl. Randublatung - Cepu Km.4 Dukuh Jape Desa Sumberejo, Randublatung",Ittibaa Ul Ihsan
159,Jawa Tengah,Brebes,"Karangsawah, Ds.Larangan, Kec. Larangan, Brebes",Yayasan Cahaya Al Barkah Bambuduri
160,Jawa Tengah,Brebes,"Jl. Kyai Haji Muhtadi No.10 Rt.03/Rw.04 Desa Karangmalang, Kec.Ketanggungan,Brebes",Yayasan Nawa Bhakti Pertiwi Kuta (Ganti Yayasan)
161,Jawa Tengah,Brebes,Jl. D Sudrajat No.4 Rt 01 Rw 01 Desa Grinting Kec. Bulakamba Brebes,"Bumdes ""Moncer Bae"""
162,Jawa Tengah,Brebes,"Jl. Raya Benda, Benda Kec Sirampog Brebes Jawa Tengah",Yayasan Pendidikan Pondok Pesantren Al Hikmah 1
163,Jawa Tengah,Jepara,"Jl. Ahmad Yani No.14, Rt 03 Rw 01, Kec. Jepara",Yayasan Annajah Insan Cendekia
164,Jawa Tengah,Jepara,"Jl. Raya Welahan, Desa Kriyan, Rt 12 Rw 03, Kec. Kalinyamatan",Yayasan Annajah Insan Cendekia
165,Jawa Tengah,Karangany ar,Grenjeng Rt 03 Rw 02. Desa Dayu. Kec. Gondangrejo. Karanganyar,Yayasan Melati Santina Utama
166,Jawa Tengah,Kota Semarang,"Jl. Pengilon Ii, Bringin, Kec. Ngaliyan, Kota Semarang, Jawa Tengah 50189",Yayasan Tirto Mirah Asih
167,Jawa Tengah,Kudus,Dusun Pecinan Rt 3 Rw 1 Desa Bulungcangkring Kec. Jekulo Kudus,Yayasan Al Chalimi
168,Jawa Tengah,Pati,"Tambakromo,Kec Tambakromo",Yayasan Panji Merah Putih 07
169,Jawa Tengah,Purbalingg a,"Rt 2/Rw 10 Dusun 5, Desa Kajongan, Kec. Bojongsari, Purbalingga",Yayasan Al Amin Brubahan Barokah
170,Jawa Tengah,Purworejo,"Jl. Magelang Km 11, Rt 003/004, Kaliboto, Kecamatan Bener, Kabupaten Purworejo, Jawa Tengah",Yayasan Nastiti Harapan Mulia
171,Jawa Tengah,Purworejo,"Rt 01/ Rw 05, Bandung, Kutoarjo, Purworejo",Yayasan Dapur Khadija Aisyah
172,Jawa Tengah,Purworejo,"Depokrejo Rt01 / Rw01, Kecamatan Ngombol, Kabupaten Purworejo",Yayasan Miftahus Shudur Kedunglo
173,Jawa Tengah,Surakarta,Jl. Brigjen Slamet Riyadi No. 392,Yayasan Sri Abadi Makmur
174,Jawa Tengah,Kota Tegal,Perumahan Jaya Permai Jl. Abdul Syukur No.6 Rt.01 Rw. 13 Kel. Margadana Kec. Margadana Kota Tegal - Jateng,Yayasan Insan Membangun Indonesia
175,Jawa Tengah,Magelang,"Jl. Mayjend Bambang Soegeng Km 5, Sumberrejo, Mertoyudan, Magelang",Persyarikatan Muhammadiyah
176,Jawa Tengah,Sragen,"Jl Batanghari Sumengko, Sragen Tengah, Sragen",Persyarikatan Muhammadiyah
177,Jawa Tengah,Grobogan,"Jl. D. I. Panjaitan No.11, Brambangan, Purwodadi, Kec. Purwodadi, Kabupaten Grobogan, Jawa Tengah",Yayasan Insan Membangun Indonesia
178,Jawa Tengah,Kota Semarang,"Kawasan Atem Technopark Jl. Kol. Warsito Soegiarto Km 2,5 Kelurahan Sadeng, Kecamatan Gunungpati, Kota Semarang, Jawa Tengah",Yayasan Bina Bangsa
179,Jawa Timur,Bondowos o,"Jl. Raya Dadapan No. 17- 19 Km 07, Dadapan, Kec. Grujugan",Yayasan Al- Ishlah Bondowoso
180,Jawa Timur,Gresik,Perumahan Jaya Permai Jl. Abdul Syukur No.6 Rt.01 Rw. 13 Kel. Margadana Kec. Margadana Kota Tegal - Jateng,Yayasan Sentra Tama Edukasi Indonesia
181,Jawa Timur,Jember,"Jl. Cempedak No. 97, Rt 04/Rw 06, Lingkungan Kreongan Atas, Kel Jember Lor, Kec Patrang, Jember, Jawa Timur",Yayasan Pondok Pesantren Bustanul Ulum
182,Jawa Timur,Kota Kediri,"Jl. Imam Bonjol, Ngadirejo, Kec. Kota, Kota Kediri, Jawa Timur 64122",Yayasan Harapan Anak Sekolah Sukses
183,Jawa Timur,Kota Madiun,"Jl. Sedoro No.20, Banjarejo, Kec.Taman, Kota Madiun",Yayasan Karya Indonesia Emas
184,Jawa Timur,Kota Malang,Jl. Yos Sudarso No 14 Kasin Kec.Klojen Kota Malang,Yayasan Salman Peduli Berkarya
