No,Provinsi SPPG,Kab./Kota SPPG,Kecamatan SPPG,Kelurahan/Desa SPPG,Nama SPPG
483,KALIMANTAN TENGAH,KOTAWARINGIN TIMUR,MENTAWA BARU KETAPANG,MENTAWA BARU HILIR,SPPG MENTAWA BARU MENTAWA BARU HILIR
484,KALIMANTAN TIMUR,KOTA BALIKPAPAN,BALIKPAPAN SELATAN,SEPINGGAN,SPPG Yayasan Abata Madrasati Jannati Balikpapan
485,KALIMANTAN TIMUR,KOTA BALIKPAPAN,BALIKPAPAN SELATAN,SEPINGGAN,SPPG Yayasan Dakwah Islam Nasrullah Balikpapan
486,KALIMANTAN TIMUR,KOTA SAMARINDA,SAMARINDA UTARA,SEMPAJA UTARA,SPPG Samarinda - Samarinda Utara
487,KALIMANTAN TIMUR,KUTAI KARTANEGARA,TENGGARONG,PANJI,SPPG Yayasan Abata Madrasati Jannati
488,KALIMANTAN UTARA,KOTA TARAKAN,TARAKAN UTARA,JUATA KERIKIL,SPPG Juata Kerikil Tarakan Utara Kota Tarakan
489,KALIMANTAN UTARA,NUNUKAN,NUNUKAN,NUNUKAN BARAT,SPPG Kab. Nunukan - Nunukan
490,KALIMANTAN UTARA,NUNUKAN,NUNUKAN SELATAN,MANSAPA,SPPG Kab. Nunukan - Nunukan Selatan
491,KEPULAUAN BANGKA BELITUNG,BELITUNG,TANJUNG PANDAN,DUKONG,SPPG TANJUNG PANDAN
492,KEPULAUAN BANGKA BELITUNG,BELITUNG TIMUR,DAMAR,MENGKUBANG,SPPG Kab. Belitung Timur - Damar
493,KEPULAUAN RIAU,KEPULAUAN ANAMBAS,SIANTAN TENGAH,AIR ASUK,SPPPG Yayasan Pangan Intan Permata
494,KEPULAUAN RIAU,KOTA BATAM,BENGKONG,BENGKONG LAUT,SPPG Kota Batam - Bengkong
495,KEPULAUAN RIAU,KOTA BATAM,SEI BEDUK,MUKA KUNING,SPPG Kota Batam - Sei Beduk
496,KEPULAUAN RIAU,KOTA BATAM,BATAM KOTA,BALOI PERMAI,SPPG BATAM KOTA
497,KEPULAUAN RIAU,KOTA TANJUNG PINANG,BUKIT BESTARI,TANJUNG PINANG TIMUR,SPPG Kota Tanjung Pinang - Bukit Bestari
498,KEPULAUAN RIAU,KOTA TANJUNG PINANG,TANJUNG PINANG TIMUR,PINANG KENCANA,SPPG TANJUNG PINANG TIMUR
499,LAMPUNG,KOTA BANDAR LAMPUNG,TELUKBETUNG SELATAN,SUMUR PUTRI,SPPG Kota Bandar Lampung Telukbetung Selatan Sumur Putri
500,LAMPUNG,KOTA BANDAR LAMPUNG,ENGGAL,RAWALAUT,SPPG Kota Bandar Lampung - Enggal
501,LAMPUNG,KOTA METRO,METRO PUSAT,YOSOMULYO,SPPG Kota Metro - Metro Pusat
502,LAMPUNG,LAMPUNG SELATAN,TANJUNG BINTANG,SERDANG,SPPG Lampung Selatan Tanjung Bintang Serdang
503,LAMPUNG,LAMPUNG SELATAN,KALIANDA,WAY URANG,SPPG KALIANDA WAY URANG
504,LAMPUNG,LAMPUNG TENGAH,KALIREJO,PONCO WARNO,SPPG Kab. Lampung Tengah - Kalirejo
505,LAMPUNG,LAMPUNG TENGAH,BANDAR MATARAM,MATARAM UDIK,SPPG Kab. Lampung Tengah - Bandar Mataram
506,LAMPUNG,LAMPUNG TIMUR,SEKAMPUNG,SUMBER GEDE,SPPG Lampung Timur Sekampung Sumber Gede
507,LAMPUNG,LAMPUNG TIMUR,BRAJA SELEBAH,BRAJA MULYA,SPPG BRAJA SELEBAH BRAJA MULYA
508,LAMPUNG,LAMPUNG UTARA,BUKIT KEMUNING,BUKIT KEMUNING,SPG Bukit Kemuning Kabupaten Lampung Utara
509,LAMPUNG,MESUJI,TANJUNG RAYA,BRABASAN,SPPG Mesuji Tanjung Raya Brabasan
510,LAMPUNG,PESAWARAN,TELUK PANDAN,BATU MENYAN,"SPPG Khusus Yayasan Salman  Peduli Berkarya  Kecamatan Teluk Pandan,  Kabupaten Pesawaran"
511,LAMPUNG,PRINGSEWU,AMBARAWA,MARGODADI,SPPG AMBARAWA MARGODADI
512,LAMPUNG,PRINGSEWU,PRINGSEWU,PRINGSEWU SELATAN,SPPG Kab. Pringsewu - Pringsewu
513,LAMPUNG,PRINGSEWU,GADING REJO,WONODADI,SPPG GADING REJO
514,LAMPUNG,TULANG BAWANG,BANJAR MARGO,AGUNG DALAM,SPPG Kab. Tulang Bawang - Banjar Margo
515,LAMPUNG,TULANG BAWANG BARAT,TULANG BAWANG TENGAH,PENUMANGAN,SPPG Kab. Tulang Bawang Barat - Tulang Bawang Tengah
516,LAMPUNG,WAY KANAN,BARADATU,TAMAN ASRI,SPPG Way Kanan Baradatu Taman Asri
517,LAMPUNG,WAY KANAN,BLAMBANGAN UMPU,LEMBASUNG,SPPG Kab. Way Kanan - Blambangan Umpu
518,MALUKU,BURU SELATAN,NAMROLE,KAMLANGLALE,SPPG Kec. Namrole Buru Selatan
519,MALUKU,KOTA AMBON,BAGUALA,WAIHERU,SPPG Kota Ambon - Teluk Baguala
520,MALUKU,KOTA AMBON,TELUK AMBON,HATIVE BESAR,SPPG Kota Ambon - Teluk Ambon
521,MALUKU,KOTA TUAL,PULAU DULLAH SELATAN,KETSOBLAK,SPPG Kec. Pulau Dullah Selatan
522,MALUKU,MALUKU BARAT DAYA,MOA LAKOR,TIAKUR,SPPG Tiakur Moa Lakor Maluku Barat Daya
523,MALUKU,MALUKU TENGAH,KOTA MASOHI,NAMAELO,"SPPG Kec. Kota Masohi, Kab. Maluku Tengah"
524,MALUKU,MALUKU TENGAH,LEIHITU,HITUMESSING,SPPG Kec Leihitu
525,MALUKU,MALUKU TENGGARA,KEI KECIL,OHOIJANG WATDEK,"SPPG Kec. Kei Kecil, Kab. Maluku Tenggara"
526,MALUKU,SERAM BAGIAN BARAT,HUAMUAL,LOKKI,SPPG Kec. Huamual
527,MALUKU UTARA,HALMAHERA BARAT,JAILOLO,GALALA,SPPG JAILOLO GALALA
528,MALUKU UTARA,HALMAHERA BARAT,JAILOLO,GUAIMAADU,SPPG JAILOLO GUAIMAADU
529,MALUKU UTARA,HALMAHERA SELATAN,BACAN SELATAN,TEMBAL,SPPG Kab. Halmahera Selatan - Bacan Selatan
530,MALUKU UTARA,HALMAHERA SELATAN,BACAN,AMASING KOTA,SPPG BACAN AMASING KOTA
531,MALUKU UTARA,HALMAHERA UTARA,KAO,KAO,SPPG Kao Kao Halmahera Utara
532,MALUKU UTARA,HALMAHERA UTARA,TOBELO,GURA,SPPG TOBELO GURA
533,MALUKU UTARA,HALMAHERA UTARA,MALIFUT,NGOFA BOBAWA,SPPG Ngofa Bobawa Malifut Halmahera Utara
534,MALUKU UTARA,KOTA TERNATE,PULAU TERNATE,KASTELA,SPPG Khusus Kota Ternate - Pulau Ternate
535,MALUKU UTARA,KOTA TERNATE,KOTA TERNATE UTARA,TUBO,SPPG Tubo Kota Ternate Utara Kota Ternate
536,MALUKU UTARA,KOTA TERNATE,KOTA TERNATE TENGAH,KALUMPANG,SPPG Kota Ternate -  Kota Ternate Tengah
537,MALUKU UTARA,KOTA TERNATE,KOTA TERNATE TENGAH,TAKOMA,SPPG Kota Ternate - Ternate Tengah
538,MALUKU UTARA,KOTA TERNATE,KOTA TERNATE UTARA,SANGO,SPPG TERNATE UTARA SANGO
539,MALUKU UTARA,KOTA TERNATE,KOTA TERNATE UTARA,DUFA-DUFA,SPPG TERNATE UTARA DUFADUFA
540,MALUKU UTARA,PULAU MOROTAI,MOROTAI SELATAN,JUANGA,SPPG MOROTAI SELATAN JUANGA
541,NUSA TENGGARA BARAT,BIMA,MADAPANGGA,MPURI,SPPG MADAPANGGA BIMA
542,NUSA TENGGARA BARAT,KOTA BIMA,ASAKOTA,JATIWANGI,SPPG KOTA BIMA - ASAKOTA
543,NUSA TENGGARA BARAT,KOTA MATARAM,CAKRANEGARA,SAYANG-SAYANG,SPPG KOTA MATARAM-CAKRANEGARA
544,NUSA TENGGARA BARAT,KOTA MATARAM,SELAPARANG,REMBIGA,SPPG Kota Mataram - Rembiga
545,NUSA TENGGARA BARAT,KOTA MATARAM,SEKARBELA,KARANG PULE,SPPG KOTA MATARAM - SEKARBELA
546,NUSA TENGGARA BARAT,LOMBOK BARAT,KEDIRI,RUMAK,SPPG Kabupaten Lombok Barat - Kediri
547,NUSA TENGGARA BARAT,LOMBOK BARAT,LEMBAR,LEMBAR SELATAN,SPPG KAB. LOMBOK BARAT - LEMBAR
548,NUSA TENGGARA BARAT,LOMBOK BARAT,GERUNG,DASAN GERES,SPPG Kab. Lombok Barat - Gerung 2
549,NUSA TENGGARA BARAT,LOMBOK BARAT,NARMADA,GERIMAX INDAH,SPPG kab. Lombok Barat - Narmada
550,NUSA TENGGARA BARAT,LOMBOK BARAT,LINGSAR,BATU KUMBUNG,SPPG KABUPATEN LOMBOK BARAT - LINGSAR
551,NUSA TENGGARA BARAT,LOMBOK BARAT,LABUAPI,BENGKEL,SPPG Kab. Lombok Barat - Labuapi
552,NUSA TENGGARA BARAT,LOMBOK BARAT,KURIPAN,KURIPAN,SPPG Kab. Lombok Barat - Kuripan
553,NUSA TENGGARA BARAT,LOMBOK TENGAH,PRAYA BARAT,BONDER,SPPG BONDER PRAYA BARAT LOMTENG
554,NUSA TENGGARA BARAT,LOMBOK TENGAH,PRAYA TIMUR,SUKARAJA,SPPG SUKARAJA PRAYA TIMUR LOTENG
555,NUSA TENGGARA BARAT,LOMBOK TENGAH,JONGGAT,PENGENJEK,SPPG Kab. Lombok Tengah - Jonggat
556,NUSA TENGGARA BARAT,LOMBOK TENGAH,PRAYA,MONTONG TEREP,SPPG MONTONG TEREP PRAYA LOMTENG
557,NUSA TENGGARA BARAT,LOMBOK TENGAH,PRINGGARATA,BAGU,SPPG BAGU PRINGGARATA LOMTENG
558,NUSA TENGGARA BARAT,LOMBOK TENGAH,PUJUT,MERTAK,SPPG Kab. Lombok Tengah - Praya Timur
559,NUSA TENGGARA BARAT,LOMBOK TENGAH,PRAYA TENGAH,JONTLAK,SPPG JONTLAK PRAYA TENGAH LOTENG
560,NUSA TENGGARA BARAT,LOMBOK TENGAH,PRINGGARATA,MURBAYA,SPPG Kab. Lombok Tengah - Pringgarata
561,NUSA TENGGARA BARAT,LOMBOK TIMUR,SAKRA,SAKRA,"SPPG SAKRA PUSAT, KEC. SAKRA, KAB.LOTIM"
562,NUSA TENGGARA BARAT,LOMBOK TIMUR,SAKRA,RUMBUK TIMUR,SPPG Kab. Lombok Timur - Sakra
563,NUSA TENGGARA BARAT,LOMBOK TIMUR,SELONG,SANDU BAYA,SPPG Kab. Lombok Timur - Selong
564,NUSA TENGGARA BARAT,LOMBOK TIMUR,AIKMEL,AIKMEL BARAT,SPPG Kab. Lombok Timur - Aikmel
565,NUSA TENGGARA BARAT,LOMBOK TIMUR,MASBAGIK,MASBAGIK TIMUR,SPPG MASBAGIK TIMUR MASBAGIK LOMTIM
566,NUSA TENGGARA BARAT,LOMBOK UTARA,BAYAN,ANYAR,SPPG ANYAR BAYAN LOMUT
567,NUSA TENGGARA BARAT,SUMBAWA,LUNYUK,LUNYUK ODE,SPPG Kab. Sumbawa - Lunyuk
568,NUSA TENGGARA BARAT,SUMBAWA BARAT,BRANG REA,TEPAS,SPPG Kab. Sumbawa Barat - Brang Rea
569,NUSA TENGGARA TIMUR,ALOR,TELUK MUTIARA,KALABAHI TIMUR,SPPG Kab. Alor-Teluk Mutiara 2
570,NUSA TENGGARA TIMUR,BELU,ATAMBUA BARAT,BEIRAFU,SPPG Kab.Belu-Atambua Barat 2
571,NUSA TENGGARA TIMUR,ENDE,NDONA,LOKOBOKO,SPPG Kab. Ende - Ndona 2
572,NUSA TENGGARA TIMUR,KOTA KUPANG,ALAK,NAMOSAIN,SPPG Khusus Kota Kupang - Alak
573,NUSA TENGGARA TIMUR,KOTA KUPANG,KELAPA LIMA,KELAPA LIMA,SPPG KOTA KUPANG - KELAPA LIMA 4
574,NUSA TENGGARA TIMUR,KOTA KUPANG,OEBOBO,OEBOBO,SPPG KOTA KUPANG - OEBOBO 2
575,NUSA TENGGARA TIMUR,KOTA KUPANG,KELAPA LIMA,OESAPA BARAT,SPPG KOTA KUPANG - KELAPA LIMA 1
576,NUSA TENGGARA TIMUR,KUPANG,KUPANG TENGAH,NOELBAKI,SPPG Kab. Kupang - Kupang Tengah
577,NUSA TENGGARA TIMUR,LEMBATA,NUBATUKAN,LEWOLEBA TIMUR,SPPG Kab. Lembata - Nubatukan
578,NUSA TENGGARA TIMUR,MANGGARAI BARAT,KOMODO,BATU CERMIN,SPPG Kab. Manggarai Barat - Komodo 2
579,NUSA TENGGARA TIMUR,NGADA,BAJAWA,NGEDUKELU,SPPG Ngedukelu Bajawa Ngada NTT
580,NUSA TENGGARA TIMUR,ROTE NDAO,LOBALAIN,METINA,SPPG KAB. ROTE NDAO- METINA
581,NUSA TENGGARA TIMUR,SIKKA,ALOK,KOTA UNENG,SPPG Kab. Sikka - Alok 2
582,NUSA TENGGARA TIMUR,SUMBA BARAT,LOLI,SOBAWAWI,SPPG Kab. Sumba Barat - Loli 2
583,NUSA TENGGARA TIMUR,SUMBA BARAT DAYA,KOTA TAMBOLAKA,RADA MATA,SPPG TAMBOLAKA RADAMATA
584,NUSA TENGGARA TIMUR,SUMBA TIMUR,KOTA WAINGAPU,HAMBALA,SPPG Sumba Timur - Kota Waingapu 2
585,NUSA TENGGARA TIMUR,TIMOR TENGAH UTARA,KOTA KEFAMENANU,KEFAMENANU SELATAN,SPPG Kab. Timor Tengah Utara - Kota Kefamenanu
586,P A P U A,BIAK NUMFOR,SAMOFA,BRAMBAKEN,SPPG KABUPATEN BIAK NUMFOR 1
587,P A P U A,KEPULAUAN YAPEN,YAPEN SELATAN,SERUI KOTA,SPPG YAPEN SELATAN
588,PAPUA BARAT,FAK FAK,PARIWARI,WAGOM,SPPG Kab. Fak-Fak - Pariwari
589,PAPUA BARAT,KAIMANA,KAIMANA,KAIMANA KOTA,SPPG KAIMANA
590,PAPUA BARAT,MANOKWARI,MANOKWARI BARAT,MANOKWARI TIMUR,SPPG Kab. Manokwari - Manokwari Barat
591,PAPUA BARAT,MANOKWARI,MANOKWARI BARAT,AMBAN,SPPG MANOKWARI BARAT AMBAN
592,PAPUA BARAT,MANOKWARI,MANOKWARI TIMUR,PASIR PUTIH,SPPG MANOKWARI TIMUR
593,PAPUA BARAT,MANOKWARI,MANOKWARI BARAT,MANOKWARI BARAT,SPPG Manokwari Barat Manokwari
594,PAPUA BARAT,MANOKWARI SELATAN,RANSIKI,RANSIKI,SPPG Kab. Manokwari Selatan - Ransiki
595,PAPUA BARAT DAYA,KOTA SORONG,SORONG BARAT,PAL PUTIH,SPPG Khusus Kota Sorong - Sorong Barat
596,PAPUA BARAT DAYA,KOTA SORONG,MALAIMSIMSA,KLABULU,SPPG Malaimsimsa
597,PAPUA BARAT DAYA,RAJA AMPAT,KOTA WAISAI,WAISAI,SPPG KOTA WAISAI
598,PAPUA BARAT DAYA,SORONG,MARIAT,KLAMALU,SPPG MARIAT KLAMALU
599,PAPUA PEGUNUNGAN,YAHUKIMO,DEKAI,DEKAI,SPPG Kab. Yahukimo - Dekai
600,PAPUA SELATAN,MERAUKE,MERAUKE,MANDALA,SPPG Khusus Kab. Merauke - Merauke
601,PAPUA TENGAH,PUNCAK,ILAGA,KIMAK,SPPG Puncak Ilaga Kimak
602,RIAU,BENGKALIS,MANDAU,GAJAH SAKTI,SPPG Kab. Bengkalis - Mandau
603,RIAU,BENGKALIS,BATHIN SOLAPAN,AIR KULIM,SPPG Kab. Bengkalis - Bathin Solapan
604,RIAU,INDRAGIRI HILIR,TEMBILAHAN,TEMBILAHAN HILIR,SPPG KEC. TEMBILAHAN INHIL
605,RIAU,INDRAGIRI HULU,SIBERIDA,PANGKALAN KASAI,SPPG PANGKALAN KASAI SIBERIDA INDHUL
606,RIAU,KAMPAR,KAMPA,KAMPAR,SPPG Kab. Kampar - Kampa
607,RIAU,KAMPAR,KAMPAR KIRI TENGAH,SIMALINYANG,SPPG Kab. Kampar - Kampar Kiri Tengah
608,RIAU,KEPULAUAN MERANTI,TEBING TINGGI,SELATPANJANG TIMUR,SPPG SELAT PANJANG TIMUR TEBING TINGGI KEP MERANTI
609,RIAU,KOTA DUMAI,DUMAI KOTA,BINTAN,SPPG Kota Dumai - Dumai Kota
610,RIAU,KOTA PEKANBARU,TUAHMADANI,SIDOMULYO BARAT,SPPG Kota Pekanbaru - Tuah Madani
611,RIAU,KOTA PEKANBARU,MARPOYAN DAMAI,SIDOMULYO TIMUR,SPPG Kota Pekanbaru - Marpoyan Damai
612,RIAU,KUANTAN SINGINGI,KUANTAN TENGAH,KOTO TALUK,SPPG KOTO TALUK KUANTAN TENGAH SINGINGI
613,RIAU,PELALAWAN,PANGKALAN KERINCI,PANGKALAN KERINCI BARAT,SPPG Pangkalan Kerinci Pelalawan Riau
614,RIAU,ROKAN HILIR,BANGKO,BAGAN KOTA,SPPG Kab. Rokan Hilir - Bangko
615,RIAU,ROKAN HILIR,TANAH PUTIH,BANJAR XII,SPPG Kab. Rokan Hilir - Tanah Putih
616,RIAU,ROKAN HULU,RAMBAH,PEMATANG BERANGAN,SPPG Pematang Berangan Rambah Rokan Hulu Riau
617,RIAU,SIAK,TUALANG,PERAWANG,SPPG Siak - Tualang
618,SULAWESI BARAT,MAMUJU,SIMBORO,RANGAS,SPPG Kab. Mamuju - Simboro
619,SULAWESI SELATAN,BANTAENG,BISSAPPU,BONTO SUNGGU,Yayasan Pengkajian Al-Qur`an dan Hadist (YAPQAH) Kecamatan Bissappu Kabupaten Bantaeng
620,SULAWESI SELATAN,BANTAENG,BANTAENG,LEMBANG,SPPG Kab. Bantaeng Kec bantaeng Kel Lembang
621,SULAWESI SELATAN,BANTAENG,BANTAENG,LEMBANG,SPPG Bantaeng Bantaeng Lembang II
622,SULAWESI SELATAN,BARRU,BARRU,COPPO,SPPG Kab. Barru - Barru
623,SULAWESI SELATAN,BULUKUMBA,UJUNG BULU,CAILE,SPPG Kota Bulukumba - Ujung Bulu 02
624,SULAWESI SELATAN,BULUKUMBA,UJUNG BULU,CAILE,SPPG Kab. Bulukumba - Ujung Bulu 01
625,SULAWESI SELATAN,GOWA,SOMBA OPU,PANDANG PANDANG,SPPG Kab. Gowa - Somba Opu 01
626,SULAWESI SELATAN,GOWA,PALLANGGA,TETEBATU,SPPG Kab Gowa - Pallangga 1
627,SULAWESI SELATAN,GOWA,SOMBA OPU,SUNGGUMINASA,SPPG KAB. GOWA - SOMBA OPU 02
628,SULAWESI SELATAN,JENEPONTO,BINAMU,EMPOANG SELATAN,SPPG Kab. Jeneponto - Binamu
629,SULAWESI SELATAN,JENEPONTO,TURATEA,KAYULOE TIMUR,SPPG Kayuloe Timur Turatea Jeneponto
630,SULAWESI SELATAN,JENEPONTO,TAMALATEA,BONTO TANGNGA,SPPG Kab.Jeneponto-Tamalatea
631,SULAWESI SELATAN,JENEPONTO,BATANG,TOGO TOGO,SPPG Kab. Jeneponto - Batang
632,SULAWESI SELATAN,KOTA MAKASSAR,PANAKKUKANG,MASALE,SPPG Kota Makassar - Panakkukang
633,SULAWESI SELATAN,KOTA MAKASSAR,BIRINGKANAYA,BAKUNG,SPPG Kab. Makassar - Biringkanaya
634,SULAWESI SELATAN,KOTA MAKASSAR,MANGGALA,BANGKALA,SPPG Kota Makassar Kec. Manggala 1
635,SULAWESI SELATAN,KOTA MAKASSAR,MAMAJANG,PARANG,SPPG Kota Makassar - Mamajang
636,SULAWESI SELATAN,KOTA MAKASSAR,RAPPOCINI,TIDUNG,SPPG Rappocini Kota Makasar
637,SULAWESI SELATAN,MAROS,MANDAI,BONTOA,SPPG Kab. Maros - Mandai 02
638,SULAWESI SELATAN,MAROS,MANDAI,BONTOA,SPPG Kab. Maros - Mandai 01
639,SULAWESI SELATAN,PANGKAJENE DAN KEPULAUAN,MINASA TENE,BONTO LANGKASA,SPPG Kab. Pangkajene Kepulauan - Minasa Tene
640,SULAWESI SELATAN,SIDENRENG RAPPANG,WATANG PULU,CIRO-CIROE,SPPG Sidenreng Rappang Watang Pulu Ciro-Ciroe
641,SULAWESI SELATAN,SIDENRENG RAPPANG,MARITENGNGAE,WALA,SPPG Sidenreng Rappang Maritengngae Wala
642,SULAWESI SELATAN,SINJAI,SINJAI UTARA,BALANGNIPA,SPPG Balangnipa Sinjai Utara Sinjai
643,SULAWESI SELATAN,TAKALAR,MANGARABOMBANG,MANGADU,SPPG Takalar Mangarabombang Mangadu
644,SULAWESI SELATAN,TANA TORAJA,MAKALE,PANTAN,SPPG Kab. Tana Toraja - Makale
645,SULAWESI SELATAN,TORAJA UTARA,RANTEPAO,PASELE,SPPG Toraja Utara Rantepao Pasele
646,SULAWESI SELATAN,WAJO,TEMPE,LAPONGKODA,SPPG Kab. Wajo - Tempe
647,SULAWESI TENGAH,BANGGAI,TOILI,SAMALORE,SPPG Kab. Banggai - Toili
648,SULAWESI TENGAH,BANGGAI KEPULAUAN,TINANGKUNG,BAKA,SPPG Banggai Kepulauan Tinangkung Baka
649,SULAWESI TENGAH,BUOL,BOKAT,BONGO,SPPG Buol Bokat Bongo
650,SULAWESI TENGAH,DONGGALA,BANAWA,GANTI,SPPG Donggala Banawa Ganti
651,SULAWESI TENGAH,KOTA PALU,PALU TIMUR,LOLU UTARA,SPPG Khusus Kota Palu - Palu Timur
652,SULAWESI TENGAH,KOTA PALU,TATANGA,NUNU,SPPG Kota Palu - Tatanga
653,SULAWESI TENGAH,POSO,POSO KOTA,KAYAMANYA,SPPG Poso Poso Kota Kayamanya
654,SULAWESI TENGAH,TOLI TOLI,BAOLAN,PANASAKAN,SPPG Toli Toli Baolan Panasakan
655,SULAWESI TENGGARA,KONAWE,UNAAHA,UNAAHA,SPPG Mandiri Yayasan Abata Madrasati Jannati
656,SULAWESI TENGGARA,KOTA BAU BAU,SORAWOLIO,KAISABU BARU,SPPG SORAWOLIO KOTA BAUBAU
657,SULAWESI TENGGARA,KOTA BAU BAU,MURHUM,LAMANGGA,SPPG Murhum
658,SULAWESI TENGGARA,KOTA KENDARI,MANDONGA,MANDONGA,SPPG Khusus Kota Kendari - Mandonga
659,SULAWESI UTARA,KEP. SIAU TAGULANDANG BIARO,SIAU BARAT,PANIKI,SPPG Paniki Siau Barat SULUT
660,SULAWESI UTARA,KEPULAUAN SANGIHE,TAMAKO,NAGHA I,SPPG TAMAKO NAGHA I
661,SULAWESI UTARA,KOTA BITUNG,MADIDIR,PACEDA,SPPG MADIDIR PACEDA
662,SULAWESI UTARA,KOTA MANADO,MALALAYANG,WINANGUN DUA,SPPG Khusus Kota Manado - Malalayang
663,SULAWESI UTARA,KOTA MANADO,MAPANGET,BENGKOL,SPPG MAPANGET BENGKOL
664,SULAWESI UTARA,MINAHASA,LANGOWAN UTARA,TORAGET,SPPG Khusus Minahasa - Langowan Utara
665,SUMATERA BARAT,KOTA BUKITTINGGI,GUGUAK PANJANG,TAROK DIPO,SPPG Kota Bukit Tinggi Guguak Panjang Tarok Dipo
666,SUMATERA BARAT,KOTA PAYAKUMBUH,PAYAKUMBUH BARAT,PAYOLANSEK,SPPG Kota Payakumbuh - Payakumbuh Barat
667,SUMATERA BARAT,PADANG PARIAMAN,NAN SABARIS,PAUH KAMBAR,SPPG Kota Pariaman - Pariaman Tengah
668,SUMATERA BARAT,PESISIR SELATAN,IV JURAI,PAINAN TIMUR PAINAN,"SPPG Yayasan Al Fath Umniah Marza, Kecamatan IV Jurai, Kabupaten Pesisir Selatan"
669,SUMATERA BARAT,TANAH DATAR,LIMA KAUM,BARINGIN,SPPG Kabupaten Tanah Datar - Lima Kaum
670,SUMATERA SELATAN,BANYUASIN,TALANG KELAPA,TALANG KERAMAT,SPPG Kab. Banyuasin - Talang Kelapa
671,SUMATERA SELATAN,EMPAT LAWANG,TEBING TINGGI,TANJUNGKUPANG,SPPG Tanjungkupang Tebing Tinggi Sumsel
672,SUMATERA SELATAN,KOTA LUBUK LINGGAU,LUBUK LINGGAU BARAT II,PASAR PERMIRI,Dapur nenek ning lubuk linggau barat ll
673,SUMATERA SELATAN,KOTA LUBUK LINGGAU,LUBUK LINGGAU SELATAN II,KARANG KETUAN,SPPG Karang Ketuan LLS II Kota Lubuk Linggau
674,SUMATERA SELATAN,KOTA LUBUK LINGGAU,LUBUK LINGGAU TIMUR II,JAWA KANAN,SPPG Kota Lubuklinggau - Lubuklinggau Timur II
675,SUMATERA SELATAN,KOTA PAGAR ALAM,PAGAR ALAM SELATAN,NENDAGUNG,SPPG Nendagung Pagar Alam Selatan Kota Pagar Alam
676,SUMATERA SELATAN,KOTA PALEMBANG,ILIR TIMUR SATU,SUNGAIPANGERAN,SPPG Kota Palembang - Ilir Timur I
677,SUMATERA SELATAN,KOTA PALEMBANG,KEMUNING,TALANGAMAN,SPPG Talangaman Kemuning Kota Palembang
678,SUMATERA SELATAN,KOTA PALEMBANG,ILIR TIMUR TIGA,DELAPAN ILIR,SPPG ILIR TIMUR 3 PALEMBANG
679,SUMATERA SELATAN,KOTA PALEMBANG,ILIR BARAT SATU,LOROKPAKJO,SPPG Lorokpakjo Ilir Barat Satu Kota Palembang
680,SUMATERA SELATAN,KOTA PALEMBANG,KALIDONI,BUKITSANGKAL,SPPG Bukit Sangkal Kalidoni Kota Palembang II
681,SUMATERA SELATAN,KOTA PALEMBANG,ILIR BARAT DUA,TIGA-PULUH-DUA ILIR,SPPG Ilir Barat II Kota Palembang
682,SUMATERA SELATAN,KOTA PALEMBANG,SUKARAMI,TALANGJAMBE,SPPG Talang Jambe Sukarami Kota Palembang
683,SUMATERA SELATAN,KOTA PALEMBANG,SEBERANG ULU DUA,ENAM-BELAS ULU,SPPG Yayasan Pendidikan Gani Nusantara Kecamatan Seberang Ulu Dua Kota Palembang
684,SUMATERA SELATAN,KOTA PALEMBANG,SUKARAMI,SUKAJAYA,SPPG Sukajaya Sukarami Kota Palembang
685,SUMATERA SELATAN,KOTA PALEMBANG,KEMUNING,SEKIPJAYA,SPPG Sekipjaya Kemuning Kota Palembang
686,SUMATERA SELATAN,KOTA PALEMBANG,ILIR BARAT SATU,SIRINGAGUNG,SPPG Kota Palembang - Ilir Barat I
687,SUMATERA SELATAN,KOTA PALEMBANG,GANDUS,KARANGANYAR,SPPG Gandus Kota Palembang
688,SUMATERA SELATAN,KOTA PALEMBANG,SAKO,SUKAMAJU,SPPG Sukamaju Sako Kota Palembang
689,SUMATERA SELATAN,KOTA PALEMBANG,KALIDONI,BUKITSANGKAL,SPPG Bukit Sangkal Kalidoni Kota Palembang
690,SUMATERA SELATAN,KOTA PALEMBANG,SEBERANG ULU SATU,LIMA ULU,SPPG 15 Ulu Seberang Ulu 1 Kota Palembang
691,SUMATERA SELATAN,KOTA PALEMBANG,SUKARAMI,SUKARAMI,SPPG Kota Palembang - Sukarami
692,SUMATERA SELATAN,KOTA PALEMBANG,KEMUNING,DUA-PULUH ILIR DUA,SPPG Dulapulu Ilir Dua Kemuning Kota Palembang
693,SUMATERA SELATAN,KOTA PALEMBANG,SAKO,SAKO,SPPG Sako Sako Kota Palembang
694,SUMATERA SELATAN,KOTA PRABUMULIH,PRABUMULIH SELATAN,MAJASARI,SPPG Kota Prabumulih - Prabumulih Selatan
695,SUMATERA SELATAN,KOTA PRABUMULIH,PRABUMULIH TIMUR,GUNUNG IBUL BARAT,SPPG Kec. Prabumulih Timur Kota Prabumulih
696,SUMATERA SELATAN,LAHAT,LAHAT,BANDAR JAYA,SPPG Bandar Jaya Lahat Sumsel
697,SUMATERA SELATAN,MUARA ENIM,MUARA ENIM,MUARA ENIM,"SPPG Yayasan Senyum Jiwa Kita Serasan, Mitra Pas Catering"
