No,Provinsi,Kabupaten,Kecamatan,KB Sederajat,TK Sederajat,TPA,SPS,SD Sederajat,SMP Sederajat,SMA Sederajat,SMK Sederajat,SLB,DIKMAS,Total
4035,MALUKU UTARA,KAB. KEPULAUAN SULA,SULA BESI TIMUR,203,123,0,0,244,158,215,0,0,82,1025
4036,MALUKU UTARA,KAB. PULAU TALIABU,LEDE,630,290,0,0,876,215,409,0,0,35,2455
4037,MALUKU UTARA,KAB. PULAU TALIABU,TABONA,478,114,0,0,487,51,0,97,0,4,1231
4038,MALUKU UTARA,KAB. PULAU TALIABU,TALIABU BARAT,1247,593,0,0,1331,482,567,60,4,168,4452
4039,MALUKU UTARA,KAB. PULAU TALIABU,TALIABU BARAT LAUT,283,283,0,0,439,300,156,66,0,151,1678
4040,MALUKU UTARA,KAB. PULAU TALIABU,TALIABU SELATAN,785,107,0,0,1310,500,2,7,0,55,2766
4041,MALUKU UTARA,KAB. PULAU TALIABU,TALIABU TIMUR,268,60,0,0,395,126,1,3,0,0,853
4042,MALUKU UTARA,KAB. PULAU TALIABU,TALIABU TIMUR SELATAN,378,178,0,29,759,270,23,0,0,0,1637
4043,MALUKU UTARA,KAB. PULAU TALIABU,TALIABU UTARA,1378,377,0,55,1157,156,237,5,0,1022,4387
4044,MALUKU UTARA,KOTA TERNATE,MOTI,0,78,0,0,377,204,132,0,0,0,791
4045,MALUKU UTARA,KOTA TERNATE,PULAU BATANG DUA,17,54,0,0,177,142,96,0,0,0,486
4046,MALUKU UTARA,KOTA TERNATE,PULAU HIRI,0,67,0,0,284,110,97,0,0,0,558
4047,MALUKU UTARA,KOTA TERNATE,PULAU TERNATE,0,242,0,0,661,156,35,1,0,0,1095
4048,MALUKU UTARA,KOTA TERNATE,TERNATE BARAT,0,78,0,0,466,160,103,0,0,0,807
4049,MALUKU UTARA,KOTA TERNATE,TERNATE SELATAN,0,465,0,0,2572,2899,407,14,44,235,6636
4050,MALUKU UTARA,KOTA TERNATE,TERNATE TENGAH,81,936,0,0,2707,1268,1546,357,121,44,7060
4051,MALUKU UTARA,KOTA TERNATE,TERNATE UTARA,0,674,0,0,2577,941,633,87,0,137,5049
4052,MALUKU UTARA,KOTA TIDORE KEPULAUAN,OBA,152,308,0,0,872,716,235,40,0,189,2512
4053,MALUKU UTARA,KOTA TIDORE KEPULAUAN,OBA SELATAN,80,115,0,0,629,266,69,0,0,50,1209
