No,Provinsi,Kabupaten,Kecamatan,KB Sederajat,TK Sederajat,TPA,SPS,SD Sederajat,SMP Sederajat,SMA Sederajat,SMK Sederajat,SLB,DIKMAS,Total
648,D.I. YOGYAKARTA,KAB. GUNUNG KIDUL,GEDANGSARI,20,34,1,14,27,6,1,2,0,1,106
649,D.I. YOGYAKARTA,KAB. GUNUNG KIDUL,GIRISUBO,15,21,1,2,20,3,0,2,0,1,65
650,D.I. YOGYAKARTA,KAB. GUNUNG KIDUL,KARANGMOJO,25,45,2,14,42,8,3,3,1,3,146
651,D.I. YOGYAKARTA,KAB. GUNUNG KIDUL,NGAWEN,26,25,0,6,29,8,1,4,1,1,101
652,D.I. YOGYAKARTA,KAB. GUNUNG KIDUL,NGLIPAR,26,39,1,4,27,9,2,2,1,0,111
653,D.I. YOGYAKARTA,KAB. GUNUNG KIDUL,PALIYAN,11,42,0,12,24,6,0,0,1,3,99
654,D.I. YOGYAKARTA,KAB. GUNUNG KIDUL,PANGGANG,22,25,0,2,24,8,1,0,1,1,84
655,D.I. YOGYAKARTA,KAB. GUNUNG KIDUL,PATUK,13,37,1,13,30,9,2,1,1,2,109
656,D.I. YOGYAKARTA,KAB. GUNUNG KIDUL,PLAYEN,30,80,2,5,52,14,7,7,1,5,203
657,D.I. YOGYAKARTA,KAB. GUNUNG KIDUL,PONJONG,21,51,2,17,42,12,4,3,1,1,154
658,D.I. YOGYAKARTA,KAB. GUNUNG KIDUL,PURWOSARI,25,16,0,1,13,2,0,1,1,0,59
659,D.I. YOGYAKARTA,KAB. GUNUNG KIDUL,RONGKOP,25,29,0,4,24,5,1,2,1,2,93
660,D.I. YOGYAKARTA,KAB. GUNUNG KIDUL,SAPTOSARI,33,36,0,1,27,7,0,1,0,3,108
661,D.I. YOGYAKARTA,KAB. GUNUNG KIDUL,SEMANU,25,36,0,21,35,8,2,1,1,2,131
662,D.I. YOGYAKARTA,KAB. GUNUNG KIDUL,SEMIN,30,37,2,8,38,10,3,2,1,4,135
663,D.I. YOGYAKARTA,KAB. GUNUNG KIDUL,TANJUNGSARI,23,18,0,3,19,4,1,1,0,1,70
664,D.I. YOGYAKARTA,KAB. GUNUNG KIDUL,TEPUS,26,21,0,4,25,7,0,3,1,1,88
665,D.I. YOGYAKARTA,KAB. GUNUNG KIDUL,WONOSARI,32,80,8,33,49,14,8,10,1,15,250
666,D.I. YOGYAKARTA,KAB. KULON PROGO,GALUR,18,41,0,5,27,6,3,1,1,0,102
667,D.I. YOGYAKARTA,KAB. KULON PROGO,GIRIMULYO,36,21,0,14,21,6,1,1,0,1,101
668,D.I. YOGYAKARTA,KAB. KULON PROGO,KALIBAWANG,17,24,0,15,24,8,2,2,1,1,94
669,D.I. YOGYAKARTA,KAB. KULON PROGO,KOKAP,9,25,0,55,40,5,1,1,1,0,137
670,D.I. YOGYAKARTA,KAB. KULON PROGO,LENDAH,28,35,3,5,28,5,2,2,0,1,109
671,D.I. YOGYAKARTA,KAB. KULON PROGO,NANGGULAN,15,22,0,30,24,7,2,3,1,1,105
